dataset,condition,layer,strength,signed_strength,n_prompts,reused,source_path
implicit_full,steer_immediate,40,2.0,-2.0,300,False,
implicit_full,steer_long_term,40,4.0,4.0,300,False,
implicit_full,steer_immediate,40,4.0,-4.0,300,False,
implicit_full,steer_long_term,40,8.0,8.0,300,False,
implicit_full,steer_immediate,40,8.0,-8.0,300,False,
implicit_full,steer_long_term,40,16.0,16.0,300,False,
implicit_full,steer_immediate,40,16.0,-16.0,300,False,
implicit_full,steer_long_term,40,32.0,32.0,300,False,
implicit_full,steer_immediate,40,32.0,-32.0,300,False,
implicit_full,steer_long_term,44,2.0,2.0,300,False,
implicit_full,steer_immediate,44,2.0,-2.0,300,False,
implicit_full,steer_long_term,44,4.0,4.0,300,False,
implicit_full,steer_immediate,44,4.0,-4.0,300,False,
implicit_full,steer_long_term,44,8.0,8.0,300,False,
implicit_full,steer_immediate,44,8.0,-8.0,300,False,
implicit_full,steer_long_term,44,16.0,16.0,300,False,
implicit_full,steer_immediate,44,16.0,-16.0,300,False,
implicit_full,steer_long_term,44,32.0,32.0,300,False,
implicit_full,steer_immediate,44,32.0,-32.0,300,False,
implicit_full,steer_long_term,48,2.0,2.0,300,False,
implicit_full,steer_immediate,48,2.0,-2.0,300,False,
implicit_full,steer_long_term,48,4.0,4.0,300,False,
implicit_full,steer_immediate,48,4.0,-4.0,300,False,
implicit_full,steer_long_term,48,8.0,8.0,300,False,
implicit_full,steer_immediate,48,8.0,-8.0,300,False,
implicit_full,steer_long_term,48,16.0,16.0,300,False,
implicit_full,steer_immediate,48,16.0,-16.0,300,False,
implicit_full,steer_long_term,48,32.0,32.0,300,False,
implicit_full,steer_immediate,48,32.0,-32.0,300,False,
