dataset,layer,strength,condition,prompt_idx,question,immediate,long_term,prompt,continuation,answer,method,fallback,score_a,score_b
explicit_test,0,0.0,add_mm,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:", A year to decadesAnswer: A year,A,generation_parse,False,,
explicit_test,0,0.0,add_mm,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:",A) The trend is the same as,A,generation_parse,False,,
explicit_test,0,0.0,add_mm,8,The better choice is:,(A) Immediate but limited impact,(B) Delayed but exponential impact,"The better choice is:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate but limited impact(B) Delayed but exponential impactAnswer:",A) Immediate but limited impact(,A,generation_parse,False,,
explicit_test,0,0.0,add_mm,9,Your budget should go toward:,(A) Urgent operational needs,(B) Strategic capacity building,"Your budget should go toward:Which of the following is more important, A or B? Answer in one letter only.(A) Urgent operational needs(B) Strategic capacity buildingAnswer:", A is the most important. It is,A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:", A) Reactive crisis management(B,A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:", A) Immediate impact(B),A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:",A: Faster results with less durabilityAnswer,A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:", A is the most important(B),A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:",A) Quick fixes that work now(,A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:","

A:

B:",A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:", A year to decadesAnswer: A year,A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:",A) The trend is the same as,A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,8,The better choice is:,(A) Immediate but limited impact,(B) Delayed but exponential impact,"The better choice is:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate but limited impact(B) Delayed but exponential impactAnswer:",A) Immediate but limited impact(,A,generation_parse,False,,
explicit_test,0,0.0,sub_mm,9,Your budget should go toward:,(A) Urgent operational needs,(B) Strategic capacity building,"Your budget should go toward:Which of the following is more important, A or B? Answer in one letter only.(A) Urgent operational needs(B) Strategic capacity buildingAnswer:", A is the most important. It is,A,generation_parse,False,,
explicit_test,0,2.0,add_mm,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:", A or B is the most important strategy,A,generation_parse,False,,
explicit_test,0,2.0,add_mm,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:", A or B is the most important.,A,generation_parse,False,,
explicit_test,0,2.0,add_mm,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:",A:A:B:C:,A,generation_parse,False,,
explicit_test,0,2.0,add_mm,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:", A History will be the judgeAnswer:,A,generation_parse,False,,
explicit_test,0,2.0,add_mm,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:",A) Quick fixes that work now(,A,generation_parse,False,,
explicit_test,0,2.0,add_mm,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:","

A: A

B",A,generation_parse,False,,
explicit_test,0,2.0,add_mm,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:","

The following is a list of",A,ab_logit_fallback,True,-105.65862274169922,-108.40275573730469
explicit_test,0,2.0,add_mm,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:",A) A trend is a trend that,A,generation_parse,False,,
explicit_test,0,2.0,add_mm,8,The better choice is:,(A) Immediate but limited impact,(B) Delayed but exponential impact,"The better choice is:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate but limited impact(B) Delayed but exponential impactAnswer:",A:A:B:C:,A,generation_parse,False,,
explicit_test,0,2.0,add_mm,9,Your budget should go toward:,(A) Urgent operational needs,(B) Strategic capacity building,"Your budget should go toward:Which of the following is more important, A or B? Answer in one letter only.(A) Urgent operational needs(B) Strategic capacity buildingAnswer:", A is the most important. It is,A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:", A) Reactive crisis management(B,A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:", A or B is the most important one,A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:",A:B:C:D:,A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:", A is the most important(C),A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:",A) Quick fixes that work now(,A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:","

A:

B:",A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:","

A:

B:",A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:",A) What's happening right now(,A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,8,The better choice is:,(A) Immediate but limited impact,(B) Delayed but exponential impact,"The better choice is:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate but limited impact(B) Delayed but exponential impactAnswer:",A) Immediate but limited impact(,A,generation_parse,False,,
explicit_test,0,2.0,sub_mm,9,Your budget should go toward:,(A) Urgent operational needs,(B) Strategic capacity building,"Your budget should go toward:Which of the following is more important, A or B? Answer in one letter only.(A) Urgent operational needs(B) Strategic capacity buildingAnswer:", A or B is the most important.,A,generation_parse,False,,
explicit_test,0,5.0,add_mm,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:","







",A,ab_logit_fallback,True,-103.99710083007812,-106.52305603027344
explicit_test,0,5.0,add_mm,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:","







",A,ab_logit_fallback,True,-101.17875671386719,-103.34738159179688
explicit_test,0,5.0,add_mm,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:","







",A,ab_logit_fallback,True,-95.81776428222656,-97.63189697265625
explicit_test,0,5.0,add_mm,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:", A is the history of of of of,A,generation_parse,False,,
explicit_test,0,5.0,add_mm,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:","







",A,ab_logit_fallback,True,-100.05677032470703,-101.32908630371094
explicit_test,0,5.0,add_mm,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:","







",A,ab_logit_fallback,True,-100.63404846191406,-102.42387390136719
explicit_test,0,5.0,add_mm,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:","







",A,ab_logit_fallback,True,-105.65862274169922,-108.40275573730469
explicit_test,0,5.0,add_mm,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:",A:A:B:B:,A,generation_parse,False,,
explicit_test,0,5.0,add_mm,8,The better choice is:,(A) Immediate but limited impact,(B) Delayed but exponential impact,"The better choice is:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate but limited impact(B) Delayed but exponential impactAnswer:","







",A,ab_logit_fallback,True,-99.0250473022461,-100.86326599121094
explicit_test,0,5.0,add_mm,9,Your budget should go toward:,(A) Urgent operational needs,(B) Strategic capacity building,"Your budget should go toward:Which of the following is more important, A or B? Answer in one letter only.(A) Urgent operational needs(B) Strategic capacity buildingAnswer:","







",A,ab_logit_fallback,True,-96.72489166259766,-98.66259765625
explicit_test,0,5.0,sub_mm,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:"," In the moment, in the moment,",A,ab_logit_fallback,True,-103.99710083007812,-106.52305603027344
explicit_test,0,5.0,sub_mm,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:","







",A,ab_logit_fallback,True,-101.17875671386719,-103.34738159179688
explicit_test,0,5.0,sub_mm,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:","







",A,ab_logit_fallback,True,-95.81776428222656,-97.63189697265625
explicit_test,0,5.0,sub_mm,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:"," A or B.



",A,generation_parse,False,,
explicit_test,0,5.0,sub_mm,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:","







",A,ab_logit_fallback,True,-100.05677032470703,-101.32908630371094
explicit_test,0,5.0,sub_mm,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:","


If you have a question",A,ab_logit_fallback,True,-100.63404846191406,-102.42387390136719
explicit_test,0,5.0,sub_mm,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:", in one letter only(C) in,A,ab_logit_fallback,True,-105.65862274169922,-108.40275573730469
explicit_test,0,5.0,sub_mm,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:"," A or B.



",A,generation_parse,False,,
explicit_test,0,5.0,sub_mm,8,The better choice is:,(A) Immediate but limited impact,(B) Delayed but exponential impact,"The better choice is:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate but limited impact(B) Delayed but exponential impactAnswer:"," A or B.



",A,generation_parse,False,,
explicit_test,0,5.0,sub_mm,9,Your budget should go toward:,(A) Urgent operational needs,(B) Strategic capacity building,"Your budget should go toward:Which of the following is more important, A or B? Answer in one letter only.(A) Urgent operational needs(B) Strategic capacity buildingAnswer:"," In the event, call, or call",A,ab_logit_fallback,True,-96.72489166259766,-98.66259765625
explicit_test,0,10.0,add_mm,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:", of of of of of of of of,A,ab_logit_fallback,True,-103.99710083007812,-106.52305603027344
explicit_test,0,10.0,add_mm,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:", of of( of of of of of,A,ab_logit_fallback,True,-101.17875671386719,-103.34738159179688
explicit_test,0,10.0,add_mm,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:", of of(() of of of,A,ab_logit_fallback,True,-95.81776428222656,-97.63189697265625
explicit_test,0,10.0,add_mm,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:", will will will of of of of of,A,ab_logit_fallback,True,-108.31809997558594,-110.47384643554688
explicit_test,0,10.0,add_mm,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:", of of of of of of of.,A,ab_logit_fallback,True,-100.05677032470703,-101.32908630371094
explicit_test,0,10.0,add_mm,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:",:: of of of of of of,A,ab_logit_fallback,True,-100.63404846191406,-102.42387390136719
explicit_test,0,10.0,add_mm,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:", of of( of of of of of,A,ab_logit_fallback,True,-105.65862274169922,-108.40275573730469
explicit_test,0,10.0,add_mm,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:",?? of will will will. of,A,ab_logit_fallback,True,-108.04928588867188,-110.06019592285156
explicit_test,0,10.0,add_mm,8,The better choice is:,(A) Immediate but limited impact,(B) Delayed but exponential impact,"The better choice is:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate but limited impact(B) Delayed but exponential impactAnswer:", of of( of of of of of,A,ab_logit_fallback,True,-99.0250473022461,-100.86326599121094
explicit_test,0,10.0,add_mm,9,Your budget should go toward:,(A) Urgent operational needs,(B) Strategic capacity building,"Your budget should go toward:Which of the following is more important, A or B? Answer in one letter only.(A) Urgent operational needs(B) Strategic capacity buildingAnswer:", of of of of of of of of,A,ab_logit_fallback,True,-96.72489166259766,-98.66259765625
explicit_test,0,10.0,sub_mm,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:"," in,,,,,,,",A,ab_logit_fallback,True,-103.99710083007812,-106.52305603027344
explicit_test,0,10.0,sub_mm,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:", in only only( only)(),A,ab_logit_fallback,True,-101.17875671386719,-103.34738159179688
explicit_test,0,10.0,sub_mm,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:","::::



",A,ab_logit_fallback,True,-95.81776428222656,-97.63189697265625
explicit_test,0,10.0,sub_mm,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:"," in the,(())(",A,ab_logit_fallback,True,-108.31809997558594,-110.47384643554688
explicit_test,0,10.0,sub_mm,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:"," in,,,,(,)",A,ab_logit_fallback,True,-100.05677032470703,-101.32908630371094
explicit_test,0,10.0,sub_mm,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:","







",A,ab_logit_fallback,True,-100.63404846191406,-102.42387390136719
explicit_test,0,10.0,sub_mm,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:", in only(())(),A,ab_logit_fallback,True,-105.65862274169922,-108.40275573730469
explicit_test,0,10.0,sub_mm,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:"," in, in(,)..",A,ab_logit_fallback,True,-108.04928588867188,-110.06019592285156
explicit_test,0,10.0,sub_mm,8,The better choice is:,(A) Immediate but limited impact,(B) Delayed but exponential impact,"The better choice is:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate but limited impact(B) Delayed but exponential impactAnswer:", in only only(())(,A,ab_logit_fallback,True,-99.0250473022461,-100.86326599121094
explicit_test,0,10.0,sub_mm,9,Your budget should go toward:,(A) Urgent operational needs,(B) Strategic capacity building,"Your budget should go toward:Which of the following is more important, A or B? Answer in one letter only.(A) Urgent operational needs(B) Strategic capacity buildingAnswer:"," in a,(())(",A,ab_logit_fallback,True,-96.72489166259766,-98.66259765625
explicit_test,0,20.0,add_mm,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:", of of of of of of of of,A,ab_logit_fallback,True,-103.99710083007812,-106.52305603027344
explicit_test,0,20.0,add_mm,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:", of of of of of of of of,A,ab_logit_fallback,True,-101.17875671386719,-103.34738159179688
explicit_test,0,20.0,add_mm,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:", of of of of of of of of,A,ab_logit_fallback,True,-95.81776428222656,-97.63189697265625
explicit_test,0,20.0,add_mm,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:", of of of of of of of of,A,ab_logit_fallback,True,-108.31809997558594,-110.47384643554688
explicit_test,0,20.0,add_mm,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:", of of of of of of. of,A,ab_logit_fallback,True,-100.05677032470703,-101.32908630371094
explicit_test,0,20.0,add_mm,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:", of of of of of of of of,A,ab_logit_fallback,True,-100.63404846191406,-102.42387390136719
explicit_test,0,20.0,add_mm,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:", of of of of of of of of,A,ab_logit_fallback,True,-105.65862274169922,-108.40275573730469
explicit_test,0,20.0,add_mm,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:", of of of of of of of of,A,ab_logit_fallback,True,-108.04928588867188,-110.06019592285156
