dataset,strength,condition,idx,answer,fallback,continuation
explicit_test_small,20,add_mm,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,20,add_mm,9,A,False,"A) A major operational need
("
explicit_test_small,20,sub_mm,0,A,False,A) A strategic plan is a plan
explicit_test_small,20,sub_mm,1,A,False,A) A or B is the most
explicit_test_small,20,sub_mm,2,A,False,A) A faster result with less durability
explicit_test_small,20,sub_mm,3,A,False,A) A is the most important moment
explicit_test_small,20,sub_mm,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,20,sub_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,20,sub_mm,6,A,False,"A) A year, (B)"
explicit_test_small,20,sub_mm,7,A,False,"A) A trend is coming, and"
explicit_test_small,20,sub_mm,8,A,False,A) Immediate but limited impact (
explicit_test_small,20,sub_mm,9,A,False,A) A major operational need is the
explicit_test_small,40,baseline,0,A,False,A) Reactive crisis management is the
explicit_test_small,40,baseline,1,A,False,A) A or B is the most
explicit_test_small,40,baseline,2,A,False,A) A faster result with less durability
explicit_test_small,40,baseline,3,A,False,A) A is the most important moment
explicit_test_small,40,baseline,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,40,baseline,5,A,False,"A) Today
(B) Forever"
explicit_test_small,40,baseline,6,A,False,"A) A year to decades
("
explicit_test_small,40,baseline,7,A,False,A) A trend is a trend that
explicit_test_small,40,baseline,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,40,baseline,9,A,False,A) A major operational need is needed
explicit_test_small,40,add_mm,0,A,False,1) A strategic plan is a plan
explicit_test_small,40,add_mm,1,A,False,"A) A change of attitude
("
explicit_test_small,40,add_mm,2,A,False,A) A faster result with less durability
explicit_test_small,40,add_mm,3,A,False,"A) A is the most important
"
explicit_test_small,40,add_mm,4,A,False,A) A new way to build a
explicit_test_small,40,add_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,40,add_mm,6,A,False,"A) A year to centuries
("
explicit_test_small,40,add_mm,7,A,False,A) The future is not yet clear
explicit_test_small,40,add_mm,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,40,add_mm,9,A,False,1) A strategic capacity building is a
explicit_test_small,40,sub_mm,0,A,False,A) A or B is the most
explicit_test_small,40,sub_mm,1,A,False,A) A or B is the most
explicit_test_small,40,sub_mm,2,A,False,"A) A is more durable, B"
explicit_test_small,40,sub_mm,3,A,False,A) A is the most important moment
explicit_test_small,40,sub_mm,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,40,sub_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,40,sub_mm,6,A,False,"A) Days to weeks
(B"
explicit_test_small,40,sub_mm,7,A,False,A) A lot of things are happening
explicit_test_small,40,sub_mm,8,A,False,A) Immediate but limited impact (
explicit_test_small,40,sub_mm,9,A,False,A) A or B is the most
explicit_test_small,80,baseline,0,A,False,A) Reactive crisis management is the
explicit_test_small,80,baseline,1,A,False,A) A or B is the most
explicit_test_small,80,baseline,2,A,False,A) A faster result with less durability
explicit_test_small,80,baseline,3,A,False,A) A is the most important moment
explicit_test_small,80,baseline,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,80,baseline,5,A,False,"A) Today
(B) Forever"
explicit_test_small,80,baseline,6,A,False,"A) A year to decades
("
explicit_test_small,80,baseline,7,A,False,A) A trend is a trend that
explicit_test_small,80,baseline,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,80,baseline,9,A,False,A) A major operational need is needed
explicit_test_small,80,add_mm,0,A,False,1) A strategic plan for the future
explicit_test_small,80,add_mm,1,A,False,"A) A change of the future
"
explicit_test_small,80,add_mm,2,A,False,A) A better choice of choice of
explicit_test_small,80,add_mm,3,A,False,A) A history will be the judge
explicit_test_small,80,add_mm,4,A,False,1) The future of the future of
explicit_test_small,80,add_mm,5,A,False,"A) A
(B) A"
explicit_test_small,80,add_mm,6,A,False,"A) A.
(B)"
explicit_test_small,80,add_mm,7,A,False,A) A trend of change will emerge
explicit_test_small,80,add_mm,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,80,add_mm,9,A,False,"1) A strategic capacity building
("
explicit_test_small,80,sub_mm,0,A,False,A) A or B are the most
explicit_test_small,80,sub_mm,1,A,False,A) A or B is the most
explicit_test_small,80,sub_mm,2,A,False,"A) is the most important, but"
explicit_test_small,80,sub_mm,3,A,False,A) The last time was the last
explicit_test_small,80,sub_mm,4,A,False,"A) the last one, but it"
explicit_test_small,80,sub_mm,5,A,False,"A) Today, or (B)"
explicit_test_small,80,sub_mm,6,A,False,"A) A day or two, or"
explicit_test_small,80,sub_mm,7,A,False,"A) A is the most important,"
explicit_test_small,80,sub_mm,8,A,False,A) A or B are the most
explicit_test_small,80,sub_mm,9,A,False,A) The budget is the most important
explicit_test_small,160,baseline,0,A,False,A) Reactive crisis management is the
explicit_test_small,160,baseline,1,A,False,A) A or B is the most
explicit_test_small,160,baseline,2,A,False,A) A faster result with less durability
explicit_test_small,160,baseline,3,A,False,A) A is the most important moment
explicit_test_small,160,baseline,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,160,baseline,5,A,False,"A) Today
(B) Forever"
explicit_test_small,160,baseline,6,A,False,"A) A year to decades
("
explicit_test_small,160,baseline,7,A,False,A) A trend is a trend that
explicit_test_small,160,baseline,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,160,baseline,9,A,False,A) A major operational need is needed
explicit_test_small,160,add_mm,0,A,False,"1) of

(2)"
explicit_test_small,160,add_mm,1,A,False,A) of of of of of of
explicit_test_small,160,add_mm,2,A,False,"A) of
(A) of"
explicit_test_small,160,add_mm,3,A,False,A) The future of the future of
explicit_test_small,160,add_mm,4,A,False,A) of of of of of of
explicit_test_small,160,add_mm,5,A,False,"A)
(A)
("
explicit_test_small,160,add_mm,6,A,False,"A) of
(A) of"
explicit_test_small,160,add_mm,7,A,False,A) of of of of of of
explicit_test_small,160,add_mm,8,A,False,"A) of
(A) of"
explicit_test_small,160,add_mm,9,A,False,A) The future of the future of
explicit_test_small,160,sub_mm,0,A,False,1) the immediate and immediate and the
explicit_test_small,160,sub_mm,1,A,False,1) the immediate and immediate and immediate
explicit_test_small,160,sub_mm,2,A,False,1) and (2) are the
explicit_test_small,160,sub_mm,3,A,False,"1) the last, the last,"
explicit_test_small,160,sub_mm,4,A,False,1) Don't get in the immediate
explicit_test_small,160,sub_mm,5,A,False,1) or (2) or (
explicit_test_small,160,sub_mm,6,A,False,"1) the last, the last,"
explicit_test_small,160,sub_mm,7,A,False,1) the immediate immediate and (2
explicit_test_small,160,sub_mm,8,A,False,1) the immediate and the immediate are
explicit_test_small,160,sub_mm,9,A,False,1) the immediate immediate and immediate and
implicit_small,0,baseline,0,A,False,1) Tactical responses that are more effective
implicit_small,0,baseline,1,A,False,A) Operational efficiency and rapid execution
implicit_small,0,baseline,2,A,False,A) A or B is the most
implicit_small,0,baseline,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,0,baseline,4,A,False,"A) Triage and damage control
"
implicit_small,0,baseline,5,A,False,"A) Speed, agility, and wins"
implicit_small,0,baseline,6,A,False,"A) Direct throughput and output volume
"
implicit_small,0,baseline,7,A,False,A) Firefighting and crisis response capacity
implicit_small,0,baseline,8,A,False,A) A person's response to a
implicit_small,0,baseline,9,A,False,A) Action-oriented and results-
implicit_small,0,add_mm,0,A,False,1) Tactical responses that are more effective
implicit_small,0,add_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,0,add_mm,2,A,False,A) A or B is the most
implicit_small,0,add_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,0,add_mm,4,A,False,"A) Triage and damage control
"
implicit_small,0,add_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,0,add_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,0,add_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,0,add_mm,8,A,False,A) A person's response to a
implicit_small,0,add_mm,9,A,False,A) Action-oriented and results-
implicit_small,0,sub_mm,0,A,False,1) Tactical responses that are more effective
implicit_small,0,sub_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,0,sub_mm,2,A,False,A) A or B is the most
implicit_small,0,sub_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,0,sub_mm,4,A,False,"A) Triage and damage control
"
implicit_small,0,sub_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,0,sub_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,0,sub_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,0,sub_mm,8,A,False,A) A person's response to a
implicit_small,0,sub_mm,9,A,False,A) Action-oriented and results-
implicit_small,2,baseline,0,A,False,1) Tactical responses that are more effective
implicit_small,2,baseline,1,A,False,A) Operational efficiency and rapid execution
implicit_small,2,baseline,2,A,False,A) A or B is the most
implicit_small,2,baseline,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,2,baseline,4,A,False,"A) Triage and damage control
"
implicit_small,2,baseline,5,A,False,"A) Speed, agility, and wins"
implicit_small,2,baseline,6,A,False,"A) Direct throughput and output volume
"
implicit_small,2,baseline,7,A,False,A) Firefighting and crisis response capacity
implicit_small,2,baseline,8,A,False,A) A person's response to a
implicit_small,2,baseline,9,A,False,A) Action-oriented and results-
implicit_small,2,add_mm,0,A,False,1) Tactical responses that are more effective
implicit_small,2,add_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,2,add_mm,2,A,False,A) A or B is more important
implicit_small,2,add_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,2,add_mm,4,A,False,"A) Triage and damage control
"
implicit_small,2,add_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,2,add_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,2,add_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,2,add_mm,8,A,False,A) A person's response to a
implicit_small,2,add_mm,9,A,False,A) Action-oriented and results-
implicit_small,2,sub_mm,0,A,False,1) Tactical responses that are effective at
implicit_small,2,sub_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,2,sub_mm,2,A,False,A) A or B is the most
implicit_small,2,sub_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,2,sub_mm,4,A,False,"A) Triage and damage control
"
implicit_small,2,sub_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,2,sub_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,2,sub_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,2,sub_mm,8,A,False,A) A person's response to a
implicit_small,2,sub_mm,9,A,False,A) Action-oriented and results-
implicit_small,5,baseline,0,A,False,1) Tactical responses that are more effective
implicit_small,5,baseline,1,A,False,A) Operational efficiency and rapid execution
implicit_small,5,baseline,2,A,False,A) A or B is the most
implicit_small,5,baseline,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,5,baseline,4,A,False,"A) Triage and damage control
"
implicit_small,5,baseline,5,A,False,"A) Speed, agility, and wins"
implicit_small,5,baseline,6,A,False,"A) Direct throughput and output volume
"
implicit_small,5,baseline,7,A,False,A) Firefighting and crisis response capacity
implicit_small,5,baseline,8,A,False,A) A person's response to a
implicit_small,5,baseline,9,A,False,A) Action-oriented and results-
implicit_small,5,add_mm,0,A,False,1) Tactical responses that are more effective
implicit_small,5,add_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,5,add_mm,2,A,False,A) A or B is more important
implicit_small,5,add_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,5,add_mm,4,A,False,"A) Triage and damage control
"
implicit_small,5,add_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,5,add_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,5,add_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,5,add_mm,8,A,False,A) A person's response to a
implicit_small,5,add_mm,9,A,False,A) Action-oriented and results-
implicit_small,5,sub_mm,0,A,False,A) Tactical responses that are effective at
implicit_small,5,sub_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,5,sub_mm,2,A,False,A) A or B is the most
implicit_small,5,sub_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,5,sub_mm,4,A,False,"A) Triage and damage control
"
implicit_small,5,sub_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,5,sub_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,5,sub_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,5,sub_mm,8,A,False,A) A person's response to a
implicit_small,5,sub_mm,9,A,False,A) Action-oriented and results-
implicit_small,10,baseline,0,A,False,1) Tactical responses that are more effective
implicit_small,10,baseline,1,A,False,A) Operational efficiency and rapid execution
implicit_small,10,baseline,2,A,False,A) A or B is the most
implicit_small,10,baseline,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,10,baseline,4,A,False,"A) Triage and damage control
"
implicit_small,10,baseline,5,A,False,"A) Speed, agility, and wins"
implicit_small,10,baseline,6,A,False,"A) Direct throughput and output volume
"
implicit_small,10,baseline,7,A,False,A) Firefighting and crisis response capacity
implicit_small,10,baseline,8,A,False,A) A person's response to a
implicit_small,10,baseline,9,A,False,A) Action-oriented and results-
implicit_small,10,add_mm,0,A,False,1) Tactical responses that are more effective
implicit_small,10,add_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,10,add_mm,2,A,False,A) A or B is more important
implicit_small,10,add_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,10,add_mm,4,A,False,"A) Triage and damage control
"
implicit_small,10,add_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,10,add_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,10,add_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,10,add_mm,8,A,False,A) A person's response to a
implicit_small,10,add_mm,9,A,False,A) Action-oriented and results-
implicit_small,10,sub_mm,0,A,False,A) Tactical responses that are effective in
implicit_small,10,sub_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,10,sub_mm,2,A,False,A) A or B is the most
implicit_small,10,sub_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,10,sub_mm,4,A,False,"A) Triage and damage control
"
implicit_small,10,sub_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,10,sub_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,10,sub_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,10,sub_mm,8,A,False,A) A person's response to a
implicit_small,10,sub_mm,9,A,False,A) Action-oriented and results-
implicit_small,20,baseline,0,A,False,1) Tactical responses that are more effective
implicit_small,20,baseline,1,A,False,A) Operational efficiency and rapid execution
implicit_small,20,baseline,2,A,False,A) A or B is the most
implicit_small,20,baseline,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,20,baseline,4,A,False,"A) Triage and damage control
"
implicit_small,20,baseline,5,A,False,"A) Speed, agility, and wins"
implicit_small,20,baseline,6,A,False,"A) Direct throughput and output volume
"
implicit_small,20,baseline,7,A,False,A) Firefighting and crisis response capacity
implicit_small,20,baseline,8,A,False,A) A person's response to a
implicit_small,20,baseline,9,A,False,A) Action-oriented and results-
implicit_small,20,add_mm,0,A,False,1) Tactical responses that are more effective
implicit_small,20,add_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,20,add_mm,2,A,False,1) A. Reactive measures to
implicit_small,20,add_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,20,add_mm,4,A,False,1) A or B is the most
implicit_small,20,add_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,20,add_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,20,add_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,20,add_mm,8,A,False,A) A person's ability to reflect
implicit_small,20,add_mm,9,A,False,A) Action-oriented and results-
implicit_small,20,sub_mm,0,A,False,A) Tactical responses that are effective in
implicit_small,20,sub_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,20,sub_mm,2,A,False,A) A or B is the most
implicit_small,20,sub_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,20,sub_mm,4,A,False,"A) Triage and damage control
"
implicit_small,20,sub_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,20,sub_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,20,sub_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,20,sub_mm,8,A,False,A) A person's response to a
implicit_small,20,sub_mm,9,A,False,A) Action-oriented and results-
implicit_small,40,baseline,0,A,False,1) Tactical responses that are more effective
implicit_small,40,baseline,1,A,False,A) Operational efficiency and rapid execution
implicit_small,40,baseline,2,A,False,A) A or B is the most
implicit_small,40,baseline,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,40,baseline,4,A,False,"A) Triage and damage control
"
implicit_small,40,baseline,5,A,False,"A) Speed, agility, and wins"
implicit_small,40,baseline,6,A,False,"A) Direct throughput and output volume
"
implicit_small,40,baseline,7,A,False,A) Firefighting and crisis response capacity
implicit_small,40,baseline,8,A,False,A) A person's response to a
implicit_small,40,baseline,9,A,False,A) Action-oriented and results-
implicit_small,40,add_mm,0,A,False,1) Tactical responses that are more effective
implicit_small,40,add_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,40,add_mm,2,A,False,1) A. Reactive measures to
implicit_small,40,add_mm,3,A,False,1) A meeting is a meeting of
implicit_small,40,add_mm,4,A,False,1) A. Triage and damage
implicit_small,40,add_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,40,add_mm,6,A,False,"A) Direct throughput and output volume
"
implicit_small,40,add_mm,7,A,False,1) Firefighting and crisis response capacity
implicit_small,40,add_mm,8,A,False,A) A person's ability to reflect
implicit_small,40,add_mm,9,A,False,A) Action-oriented and results-
implicit_small,40,sub_mm,0,A,False,A) Tactical responses that are designed to
implicit_small,40,sub_mm,1,A,False,A) Operational efficiency and rapid execution
implicit_small,40,sub_mm,2,A,False,"A) A or B, but only"
implicit_small,40,sub_mm,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,40,sub_mm,4,A,False,"A) Triage and damage control
"
implicit_small,40,sub_mm,5,A,False,"A) Speed, agility, and wins"
implicit_small,40,sub_mm,6,A,False,"A) Direct throughput and output volume,"
implicit_small,40,sub_mm,7,A,False,A) Firefighting and crisis response capacity
implicit_small,40,sub_mm,8,A,False,"A) A is the most important,"
implicit_small,40,sub_mm,9,A,False,A) Action-oriented and results-
implicit_small,80,baseline,0,A,False,1) Tactical responses that are more effective
implicit_small,80,baseline,1,A,False,A) Operational efficiency and rapid execution
implicit_small,80,baseline,2,A,False,A) A or B is the most
implicit_small,80,baseline,3,A,False,A) Meeting deadlines and showing tangible progress
implicit_small,80,baseline,4,A,False,"A) Triage and damage control
"
