dataset,layer,strength,condition,prop_A,prop_B,fallback_rate,n_prompts
explicit_test,4,40.0,add_mm,1.0,0.0,1.0,10
explicit_test,4,40.0,sub_mm,1.0,0.0,1.0,10
explicit_test,4,80.0,baseline,1.0,0.0,0.0,10
explicit_test,4,80.0,add_mm,1.0,0.0,1.0,10
explicit_test,4,80.0,sub_mm,1.0,0.0,1.0,10
explicit_test,4,160.0,baseline,1.0,0.0,0.0,10
explicit_test,4,160.0,add_mm,1.0,0.0,1.0,10
explicit_test,4,160.0,sub_mm,1.0,0.0,1.0,10
explicit_test,8,0.0,baseline,1.0,0.0,0.0,10
explicit_test,8,0.0,add_mm,1.0,0.0,0.0,10
explicit_test,8,0.0,sub_mm,1.0,0.0,0.0,10
explicit_test,8,2.0,baseline,1.0,0.0,0.0,10
explicit_test,8,2.0,add_mm,1.0,0.0,0.3,10
explicit_test,8,2.0,sub_mm,1.0,0.0,0.3,10
explicit_test,8,5.0,baseline,1.0,0.0,0.0,10
explicit_test,8,5.0,add_mm,0.9,0.1,0.6,10
explicit_test,8,5.0,sub_mm,1.0,0.0,0.9,10
explicit_test,8,10.0,baseline,1.0,0.0,0.0,10
explicit_test,8,10.0,add_mm,1.0,0.0,1.0,10
explicit_test,8,10.0,sub_mm,1.0,0.0,1.0,10
explicit_test,8,20.0,baseline,1.0,0.0,0.0,10
explicit_test,8,20.0,add_mm,1.0,0.0,1.0,10
explicit_test,8,20.0,sub_mm,1.0,0.0,1.0,10
explicit_test,8,40.0,baseline,1.0,0.0,0.0,10
explicit_test,8,40.0,add_mm,1.0,0.0,1.0,10
explicit_test,8,40.0,sub_mm,1.0,0.0,1.0,10
explicit_test,8,80.0,baseline,1.0,0.0,0.0,10
explicit_test,8,80.0,add_mm,1.0,0.0,1.0,10
explicit_test,8,80.0,sub_mm,1.0,0.0,1.0,10
explicit_test,8,160.0,baseline,1.0,0.0,0.0,10
explicit_test,8,160.0,add_mm,1.0,0.0,1.0,10
explicit_test,8,160.0,sub_mm,1.0,0.0,1.0,10
explicit_test,11,0.0,baseline,1.0,0.0,0.0,10
explicit_test,11,0.0,add_mm,1.0,0.0,0.0,10
explicit_test,11,0.0,sub_mm,1.0,0.0,0.0,10
explicit_test,11,2.0,baseline,1.0,0.0,0.0,10
explicit_test,11,2.0,add_mm,1.0,0.0,0.0,10
explicit_test,11,2.0,sub_mm,1.0,0.0,0.2,10
explicit_test,11,5.0,baseline,1.0,0.0,0.0,10
explicit_test,11,5.0,add_mm,1.0,0.0,0.0,10
explicit_test,11,5.0,sub_mm,1.0,0.0,0.3,10
explicit_test,11,10.0,baseline,1.0,0.0,0.0,10
explicit_test,11,10.0,add_mm,1.0,0.0,0.0,10
explicit_test,11,10.0,sub_mm,1.0,0.0,0.6,10
explicit_test,11,20.0,baseline,1.0,0.0,0.0,10
explicit_test,11,20.0,add_mm,1.0,0.0,0.0,10
explicit_test,11,20.0,sub_mm,1.0,0.0,0.7,10
explicit_test,11,40.0,baseline,1.0,0.0,0.0,10
explicit_test,11,40.0,add_mm,1.0,0.0,0.4,10
explicit_test,11,40.0,sub_mm,1.0,0.0,1.0,10
explicit_test,11,80.0,baseline,1.0,0.0,0.0,10
explicit_test,11,80.0,add_mm,0.0,1.0,0.0,10
explicit_test,11,80.0,sub_mm,1.0,0.0,1.0,10
explicit_test,11,160.0,baseline,1.0,0.0,0.0,10
explicit_test,11,160.0,add_mm,0.8,0.2,0.8,10
explicit_test,11,160.0,sub_mm,1.0,0.0,1.0,10
implicit_full,0,0.0,baseline,1.0,0.0,0.05,20
implicit_full,0,0.0,add_mm,1.0,0.0,0.05,20
implicit_full,0,0.0,sub_mm,1.0,0.0,0.05,20
implicit_full,0,2.0,baseline,1.0,0.0,0.05,20
implicit_full,0,2.0,add_mm,1.0,0.0,0.05,20
implicit_full,0,2.0,sub_mm,1.0,0.0,0.05,20
implicit_full,0,5.0,baseline,1.0,0.0,0.05,20
implicit_full,0,5.0,add_mm,1.0,0.0,0.85,20
implicit_full,0,5.0,sub_mm,1.0,0.0,0.75,20
implicit_full,0,10.0,baseline,1.0,0.0,0.05,20
implicit_full,0,10.0,add_mm,1.0,0.0,1.0,20
implicit_full,0,10.0,sub_mm,1.0,0.0,1.0,20
implicit_full,0,20.0,baseline,1.0,0.0,0.05,20
implicit_full,0,20.0,add_mm,1.0,0.0,1.0,20
implicit_full,0,20.0,sub_mm,1.0,0.0,1.0,20
implicit_full,0,40.0,baseline,1.0,0.0,0.05,20
implicit_full,0,40.0,add_mm,1.0,0.0,1.0,20
implicit_full,0,40.0,sub_mm,1.0,0.0,1.0,20
implicit_full,0,80.0,baseline,1.0,0.0,0.05,20
implicit_full,0,80.0,add_mm,1.0,0.0,1.0,20
implicit_full,0,80.0,sub_mm,1.0,0.0,0.0,20
implicit_full,0,160.0,baseline,1.0,0.0,0.05,20
implicit_full,0,160.0,add_mm,1.0,0.0,1.0,20
implicit_full,0,160.0,sub_mm,1.0,0.0,0.9,20
implicit_full,4,0.0,baseline,1.0,0.0,0.05,20
implicit_full,4,0.0,add_mm,1.0,0.0,0.05,20
implicit_full,4,0.0,sub_mm,1.0,0.0,0.05,20
implicit_full,4,2.0,baseline,1.0,0.0,0.05,20
implicit_full,4,2.0,add_mm,1.0,0.0,0.3,20
implicit_full,4,2.0,sub_mm,1.0,0.0,0.85,20
implicit_full,4,5.0,baseline,1.0,0.0,0.05,20
implicit_full,4,5.0,add_mm,1.0,0.0,0.05,20
implicit_full,4,5.0,sub_mm,1.0,0.0,0.95,20
implicit_full,4,10.0,baseline,1.0,0.0,0.05,20
implicit_full,4,10.0,add_mm,1.0,0.0,0.15,20
implicit_full,4,10.0,sub_mm,1.0,0.0,1.0,20
implicit_full,4,20.0,baseline,1.0,0.0,0.05,20
implicit_full,4,20.0,add_mm,1.0,0.0,1.0,20
implicit_full,4,20.0,sub_mm,1.0,0.0,1.0,20
implicit_full,4,40.0,baseline,1.0,0.0,0.05,20
implicit_full,4,40.0,add_mm,1.0,0.0,1.0,20
implicit_full,4,40.0,sub_mm,1.0,0.0,1.0,20
implicit_full,4,80.0,baseline,1.0,0.0,0.05,20
implicit_full,4,80.0,add_mm,1.0,0.0,1.0,20
implicit_full,4,80.0,sub_mm,1.0,0.0,1.0,20
implicit_full,4,160.0,baseline,1.0,0.0,0.05,20
implicit_full,4,160.0,add_mm,1.0,0.0,1.0,20
implicit_full,4,160.0,sub_mm,1.0,0.0,1.0,20
implicit_full,8,0.0,baseline,1.0,0.0,0.05,20
implicit_full,8,0.0,add_mm,1.0,0.0,0.05,20
implicit_full,8,0.0,sub_mm,1.0,0.0,0.05,20
implicit_full,8,2.0,baseline,1.0,0.0,0.05,20
implicit_full,8,2.0,add_mm,1.0,0.0,0.05,20
implicit_full,8,2.0,sub_mm,1.0,0.0,0.1,20
implicit_full,8,5.0,baseline,1.0,0.0,0.05,20
implicit_full,8,5.0,add_mm,1.0,0.0,0.5,20
implicit_full,8,5.0,sub_mm,1.0,0.0,0.95,20
implicit_full,8,10.0,baseline,1.0,0.0,0.05,20
implicit_full,8,10.0,add_mm,1.0,0.0,1.0,20
implicit_full,8,10.0,sub_mm,1.0,0.0,1.0,20
implicit_full,8,20.0,baseline,1.0,0.0,0.05,20
implicit_full,8,20.0,add_mm,1.0,0.0,1.0,20
implicit_full,8,20.0,sub_mm,1.0,0.0,1.0,20
implicit_full,8,40.0,baseline,1.0,0.0,0.05,20
implicit_full,8,40.0,add_mm,1.0,0.0,1.0,20
implicit_full,8,40.0,sub_mm,1.0,0.0,1.0,20
implicit_full,8,80.0,baseline,1.0,0.0,0.05,20
implicit_full,8,80.0,add_mm,1.0,0.0,1.0,20
implicit_full,8,80.0,sub_mm,1.0,0.0,1.0,20
implicit_full,8,160.0,baseline,1.0,0.0,0.05,20
implicit_full,8,160.0,add_mm,1.0,0.0,1.0,20
implicit_full,8,160.0,sub_mm,1.0,0.0,1.0,20
implicit_full,11,0.0,baseline,1.0,0.0,0.05,20
implicit_full,11,0.0,add_mm,1.0,0.0,0.05,20
implicit_full,11,0.0,sub_mm,1.0,0.0,0.05,20
implicit_full,11,2.0,baseline,1.0,0.0,0.05,20
implicit_full,11,2.0,add_mm,1.0,0.0,0.0,20
implicit_full,11,2.0,sub_mm,1.0,0.0,0.05,20
implicit_full,11,5.0,baseline,1.0,0.0,0.05,20
implicit_full,11,5.0,add_mm,0.95,0.05,0.0,20
implicit_full,11,5.0,sub_mm,1.0,0.0,0.2,20
implicit_full,11,10.0,baseline,1.0,0.0,0.05,20
implicit_full,11,10.0,add_mm,0.95,0.05,0.05,20
implicit_full,11,10.0,sub_mm,1.0,0.0,0.45,20
implicit_full,11,20.0,baseline,1.0,0.0,0.05,20
implicit_full,11,20.0,add_mm,0.9,0.1,0.1,20
implicit_full,11,20.0,sub_mm,1.0,0.0,0.95,20
implicit_full,11,40.0,baseline,1.0,0.0,0.05,20
implicit_full,11,40.0,add_mm,0.85,0.15,0.3,20
implicit_full,11,40.0,sub_mm,1.0,0.0,0.95,20
implicit_full,11,80.0,baseline,1.0,0.0,0.05,20
implicit_full,11,80.0,add_mm,0.6,0.4,0.6,20
implicit_full,11,80.0,sub_mm,1.0,0.0,1.0,20
implicit_full,11,160.0,baseline,1.0,0.0,0.05,20
implicit_full,11,160.0,add_mm,1.0,0.0,1.0,20
implicit_full,11,160.0,sub_mm,1.0,0.0,1.0,20
