layer,artifact_type,probe_type,feature_space,json_path,array_path
3,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_3.json,
3,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_3.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_3.npz
4,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_4.json,
4,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_4.json,
4,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_4.json,
4,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_4.json,
4,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_4.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_4.npz
5,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_5.json,
5,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_5.json,
5,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_5.json,
5,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_5.json,
5,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_5.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_5.npz
6,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_6.json,
6,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_6.json,
6,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_6.json,
6,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_6.json,
6,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_6.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_6.npz
7,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_7.json,
7,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_7.json,
7,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_7.json,
7,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_7.json,
7,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_7.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_7.npz
8,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_8.json,
8,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_8.json,
8,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_8.json,
8,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_8.json,
8,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_8.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_8.npz
9,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_9.json,
9,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_9.json,
9,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_9.json,
9,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_9.json,
9,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_9.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_9.npz
10,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_10.json,
10,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_10.json,
10,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_10.json,
10,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_10.json,
10,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_10.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_10.npz
11,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_11.json,
11,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_11.json,
11,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_11.json,
11,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_11.json,
11,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_11.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_11.npz
