item,arm,level,target_share,achieved_share,scale,bias_nats,ctx_tokens,fill,gold,pred,correct,parsed,n_obeyed,obey_prefix_marker,obey_suffix_ok,obey_forbid_diagnosis,response
12,demonstrated,0.0500,0.05,0.04901782172259317,0.0759162135601666,-2.578125,362,0.0884,A,C,False,True,1,False,False,True,C) Chronic rhinosinusitis
13,demonstrated,natural,,0.16572651989867637,1.0,0.0,397,0.0969,D,C,False,True,3,True,True,True,◆C⟦OK⟧
13,demonstrated,0.0500,0.05,0.04980144987394208,0.0759162135601666,-2.578125,397,0.0969,D,C,False,True,1,False,False,True,C) Cluster headache
14,demonstrated,natural,,0.16889365865472428,1.0,0.0,338,0.0825,A,D,False,True,3,True,True,True,◆D⟦OK⟧
14,demonstrated,0.0500,0.05,0.049187058750831625,0.07159580830181511,-2.63671875,338,0.0825,A,D,False,True,1,False,False,True,D) Bronchospasm / acute asthma exacerbation
15,demonstrated,natural,,0.1525949086127696,1.0,0.0,582,0.1421,D,D,True,True,3,True,True,True,◆ D ⟦OK⟧
15,demonstrated,0.0500,0.05,0.050060180927308906,0.09050558205614526,-2.40234375,582,0.1421,D,D,True,True,1,False,False,True,D) Panic attack
16,demonstrated,natural,,0.1605431139812339,1.0,0.0,419,0.1023,C,C,True,True,3,True,True,True,◆C⟦OK⟧
16,demonstrated,0.0500,0.05,0.049452742444597186,0.08049733103113403,-2.51953125,419,0.1023,C,C,True,True,1,False,False,True,C) Pulmonary embolism
17,demonstrated,natural,,0.1507066873977152,1.0,0.0,516,0.126,A,C,False,True,3,True,True,True,◆ C ⟦OK⟧
17,demonstrated,0.0500,0.05,0.04925389109413736,0.08535489323371559,-2.4609375,516,0.126,A,C,False,True,1,False,False,True,C) Pneumonia
18,demonstrated,natural,,0.16015797882850613,1.0,0.0,455,0.1111,E,E,True,True,3,True,True,True,◆ E ⟦OK⟧
18,demonstrated,0.0500,0.05,0.04953775531113036,0.08049733103113403,-2.51953125,455,0.1111,E,D,False,True,1,False,False,True,D) PSVT ⟶ Paroxysmal Supraventricular Tachycardia
19,demonstrated,natural,,0.15455741484036878,1.0,0.0,491,0.1199,E,C,False,True,3,True,True,True,◆ C ⟦OK⟧
19,demonstrated,0.0500,0.05,0.04945284321782317,0.08535489323371559,-2.4609375,491,0.1199,E,C,False,True,1,False,False,True,C) Pneumonia
20,demonstrated,natural,,0.17432218528108478,1.0,0.0,305,0.0745,D,D,True,True,3,True,True,True,◆D⟦OK⟧
20,demonstrated,0.0500,0.05,0.049685376480574917,0.07159580830181511,-2.63671875,305,0.0745,D,D,True,True,1,False,False,True,D) Acute otitis media
21,demonstrated,natural,,0.1629009815004423,1.0,0.0,391,0.0955,E,D,False,True,3,True,True,True,◆ D ⟦OK⟧
21,demonstrated,0.0500,0.05,0.05042940538917273,0.0759162135601666,-2.578125,391,0.0955,E,D,False,True,1,False,False,True,D) Possible NSTEMI / STEMI
22,demonstrated,natural,,0.16668964585761614,1.0,0.0,359,0.0876,C,C,True,True,3,True,True,True,◆C⟦OK⟧
22,demonstrated,0.0500,0.05,0.050242507914628476,0.07159580830181511,-2.63671875,359,0.0876,C,C,True,True,1,False,False,True,C) Spontaneous rib fracture
23,demonstrated,natural,,0.14961552409630485,1.0,0.0,581,0.1418,B,B,True,True,3,True,True,True,◆ B ⟦OK⟧
23,demonstrated,0.0500,0.05,0.05039597426442377,0.08535489323371559,-2.4609375,581,0.1418,B,C,False,True,1,False,False,True,C) Bronchitis
24,demonstrated,natural,,0.1632061791258934,1.0,0.0,368,0.0898,E,B,False,True,3,True,True,True,◆B ⟦OK⟧
24,demonstrated,0.0500,0.05,0.050422547591235656,0.0759162135601666,-2.578125,368,0.0898,E,C,False,True,1,False,False,True,C) Spontaneous pneumothorax
25,demonstrated,natural,,0.15924352760066718,1.0,0.0,454,0.1108,A,B,False,True,3,True,True,True,◆ B ⟦OK⟧
25,demonstrated,0.0500,0.05,0.04996593578720798,0.08049733103113403,-2.51953125,454,0.1108,A,A,True,True,2,True,False,True,◆ A
26,demonstrated,natural,,0.15944688248548644,1.0,0.0,440,0.1074,A,B,False,True,3,True,True,True,◆ B ⟦OK⟧
26,demonstrated,0.0500,0.05,0.05007288196013837,0.0759162135601666,-2.578125,440,0.1074,A,E,False,True,1,False,False,True,E) Tuberculosis
27,demonstrated,natural,,0.17447430960783095,1.0,0.0,313,0.0764,B,B,True,True,3,True,True,True,◆B ⟦OK⟧
27,demonstrated,0.0500,0.05,0.050833693809806846,0.0675212780775444,-2.6953125,313,0.0764,B,B,True,True,1,False,False,True,B) Viral pharyngitis
28,demonstrated,natural,,0.1680990880591935,1.0,0.0,332,0.0811,E,E,True,True,3,True,True,True,◆ E ⟦OK⟧
28,demonstrated,0.0500,0.05,0.050682108906357826,0.0759162135601666,-2.578125,332,0.0811,E,C,False,True,1,False,False,True,C) Unstable angina
29,demonstrated,natural,,0.1610008305077244,1.0,0.0,396,0.0967,B,B,True,True,3,True,True,True,◆B⟦OK⟧
29,demonstrated,0.0500,0.05,0.05008436001537131,0.08049733103113403,-2.51953125,396,0.0967,B,B,True,True,1,False,False,True,B) GERD
30,demonstrated,natural,,0.1776493685888454,1.0,0.0,319,0.0779,A,C,False,True,3,True,True,True,◆C ⟦OK⟧
30,demonstrated,0.0500,0.05,0.049292266820245345,0.07159580830181511,-2.63671875,319,0.0779,A,C,False,True,1,False,False,True,C) Acute pulmonary edema
31,demonstrated,natural,,0.1714579427920171,1.0,0.0,329,0.0803,B,C,False,True,3,True,True,True,◆ C ⟦OK⟧
31,demonstrated,0.0500,0.05,0.04926259762946472,0.07159580830181511,-2.63671875,329,0.0803,B,C,False,True,1,False,False,True,C) Influenza
32,demonstrated,natural,,0.16446590219879909,1.0,0.0,357,0.0872,E,C,False,True,3,True,True,True,◆C⟦OK⟧
32,demonstrated,0.0500,0.05,0.0496732509130986,0.0759162135601666,-2.578125,357,0.0872,E,C,False,True,1,False,False,True,C) Pulmonary embolism
33,demonstrated,natural,,0.1622871265334176,1.0,0.0,438,0.1069,E,D,False,True,3,True,True,True,◆D⟦OK⟧
33,demonstrated,0.0500,0.05,0.049105687186067115,0.0759162135601666,-2.578125,438,0.1069,E,C,False,True,1,False,False,True,C) Spontaneous pneumothorax
34,demonstrated,natural,,0.14836701881462488,1.0,0.0,548,0.1338,D,D,True,True,3,True,True,True,◆ D ⟦OK⟧
34,demonstrated,0.0500,0.05,0.04990164651133,0.08049733103113403,-2.51953125,548,0.1338,D,C,False,True,1,False,False,True,C) Influenza
35,demonstrated,natural,,0.16956605219849052,1.0,0.0,387,0.0945,B,B,True,True,3,True,True,True,◆B⟦OK⟧
35,demonstrated,0.0500,0.05,0.04916339541000614,0.0675212780775444,-2.6953125,387,0.0945,B,B,True,True,1,False,False,True,B) Pericarditis
36,demonstrated,natural,,0.1591774840002298,1.0,0.0,452,0.1104,C,C,True,True,3,True,True,True,◆ C ⟦OK⟧
36,demonstrated,0.0500,0.05,0.05007321496439543,0.0759162135601666,-2.578125,452,0.1104,C,C,True,True,1,False,False,True,C) Pancreatic neoplasm
37,demonstrated,natural,,0.16611848385753092,1.0,0.0,365,0.0891,D,B,False,True,3,True,True,True,◆B ⟦OK⟧
37,demonstrated,0.0500,0.05,0.049377721858032686,0.0675212780775444,-2.6953125,365,0.0891,D,B,False,True,1,False,False,True,B) Viral pharyngitis
38,demonstrated,natural,,0.16917106819516903,1.0,0.0,336,0.082,D,D,True,True,3,True,True,True,◆ D ⟦OK⟧
38,demonstrated,0.0500,0.05,0.05005825540098385,0.0759162135601666,-2.578125,336,0.082,D,D,True,True,1,False,False,True,D) Viral pharyngitis
39,demonstrated,natural,,0.17000607607781149,1.0,0.0,323,0.0789,C,C,True,True,3,True,True,True,◆C⟦OK⟧
39,demonstrated,0.0500,0.05,0.05035881745600079,0.0759162135601666,-2.578125,323,0.0789,C,C,True,True,1,False,False,True,C) URTI
40,demonstrated,natural,,0.16556372463667657,1.0,0.0,418,0.1021,D,D,True,True,3,True,True,True,◆D⟦OK⟧
40,demonstrated,0.0500,0.05,0.05076841562755052,0.08049733103113403,-2.51953125,418,0.1021,D,D,True,True,1,False,False,True,D) Anemia
41,demonstrated,natural,,0.16039742623864228,1.0,0.0,438,0.1069,E,D,False,True,3,True,True,True,◆ D ⟦OK⟧
41,demonstrated,0.0500,0.05,0.04998211468655489,0.08049733103113403,-2.51953125,438,0.1069,E,D,False,True,1,False,False,True,D) Acute dystonic reactions
42,demonstrated,natural,,0.16298992582706617,1.0,0.0,428,0.1045,A,E,False,True,3,True,True,True,◆ E ⟦OK⟧
42,demonstrated,0.0500,0.05,0.05009812037921213,0.0759162135601666,-2.578125,428,0.1045,A,C,False,True,1,False,False,True,C) Unstable angina
43,demonstrated,natural,,0.17084237976098393,1.0,0.0,350,0.0854,A,C,False,True,3,True,True,True,◆C ⟦OK⟧
43,demonstrated,0.0500,0.05,0.05003676108547239,0.07159580830181511,-2.63671875,350,0.0854,A,C,False,True,1,False,False,True,C) Pulmonary embolism
44,demonstrated,natural,,0.1553379696552284,1.0,0.0,513,0.1252,A,C,False,True,3,True,True,True,◆ C ⟦OK⟧
44,demonstrated,0.0500,0.05,0.05074292432446281,0.08535489323371559,-2.4609375,513,0.1252,A,C,False,True,1,False,False,True,C) PSVT
45,demonstrated,natural,,0.15816250985151648,1.0,0.0,436,0.1064,D,D,True,True,3,True,True,True,◆D⟦OK⟧
45,demonstrated,0.0500,0.05,0.05028237209528075,0.08535489323371559,-2.4609375,436,0.1064,D,D,True,True,1,False,False,True,D) Stable angina
46,demonstrated,natural,,0.17905570693437767,1.0,0.0,277,0.0676,D,D,True,True,3,True,True,True,◆D⟦OK⟧
46,demonstrated,0.0500,0.05,0.04996679902905754,0.0759162135601666,-2.578125,277,0.0676,D,D,True,True,1,False,False,True,D) Acute dystonic reactions
47,demonstrated,natural,,0.17646798535008656,1.0,0.0,307,0.075,E,D,False,True,3,True,True,True,◆D⟦OK⟧
47,demonstrated,0.0500,0.05,0.05027513631486613,0.0759162135601666,-2.578125,307,0.075,E,A,False,True,2,True,False,True,◆ A
48,demonstrated,natural,,0.14465131922210617,1.0,0.0,689,0.1682,E,C,False,True,3,True,True,True,◆ C ⟦OK⟧
48,demonstrated,0.0500,0.05,0.04978306241898123,0.09050558205614526,-2.40234375,689,0.1682,E,C,False,True,1,False,False,True,C) Tuberculosis
49,demonstrated,natural,,0.16064046114395403,1.0,0.0,445,0.1086,D,B,False,True,3,True,True,True,◆ B ⟦OK⟧
49,demonstrated,0.0500,0.05,0.050887125600690974,0.0759162135601666,-2.578125,445,0.1086,D,D,True,True,1,False,False,True,D) Inguinal hernia
50,demonstrated,natural,,0.1514014355342681,1.0,0.0,571,0.1394,C,C,True,True,3,True,True,True,◆ C ⟦OK⟧
50,demonstrated,0.0500,0.05,0.04999175263985833,0.08049733103113403,-2.51953125,571,0.1394,C,C,True,True,1,False,False,True,C) Pneumonia
51,demonstrated,natural,,0.16219966034762834,1.0,0.0,428,0.1045,C,C,True,True,3,True,True,True,◆C⟦OK⟧
51,demonstrated,0.0500,0.05,0.05056741131135567,0.0759162135601666,-2.578125,428,0.1045,C,C,True,True,1,False,False,True,C) Epiglottitis
52,demonstrated,natural,,0.17311514563834862,1.0,0.0,328,0.0801,C,C,True,True,3,True,True,True,◆ C ⟦OK⟧
52,demonstrated,0.0500,0.05,0.049114920938748696,0.0759162135601666,-2.578125,328,0.0801,C,C,True,True,1,False,False,True,C) Viral pharyngitis
53,demonstrated,natural,,0.16406215392666468,1.0,0.0,384,0.0938,A,C,False,True,3,True,True,True,◆ C ⟦OK⟧
53,demonstrated,0.0500,0.05,0.05046750754992324,0.0759162135601666,-2.578125,384,0.0938,A,C,False,True,1,False,False,True,C) Influenza
54,demonstrated,natural,,0.16587611876394703,1.0,0.0,360,0.0879,C,C,True,True,3,True,True,True,◆C⟦OK⟧
54,demonstrated,0.0500,0.05,0.05076504595526643,0.0759162135601666,-2.578125,360,0.0879,C,C,True,True,1,False,False,True,C) URTI
55,demonstrated,natural,,0.16851661005739516,1.0,0.0,344,0.084,C,C,True,True,3,True,True,True,◆ C ⟦OK⟧
55,demonstrated,0.0500,0.05,0.049190112322065715,0.07159580830181511,-2.63671875,344,0.084,C,C,True,True,1,False,False,True,C) Viral pharyngitis
56,demonstrated,natural,,0.16952760606579886,1.0,0.0,355,0.0867,E,C,False,True,3,True,True,True,◆C⟦OK⟧
56,demonstrated,0.0500,0.05,0.05015412923809848,0.07372436960092195,-2.607421875,355,0.0867,E,C,False,True,1,False,False,True,C) Cluster headache
57,demonstrated,natural,,0.1648952076227772,1.0,0.0,376,0.0918,C,B,False,True,3,True,True,True,◆ B ⟦OK⟧
57,demonstrated,0.0500,0.05,0.050128624227230745,0.0759162135601666,-2.578125,376,0.0918,C,B,False,True,1,False,False,True,B) Bronchitis
58,demonstrated,natural,,0.16034131098805915,1.0,0.0,437,0.1067,B,B,True,True,3,True,True,True,◆B⟦OK⟧
58,demonstrated,0.0500,0.05,0.04948537121860541,0.08049733103113403,-2.51953125,437,0.1067,B,B,True,True,1,False,False,True,B) Pulmonary embolism
59,demonstrated,natural,,0.16075115425664244,1.0,0.0,456,0.1113,E,E,True,True,3,True,True,True,◆ E ⟦OK⟧
59,demonstrated,0.0500,0.05,0.0498178242033499,0.08049733103113403,-2.51953125,456,0.1113,E,C,False,True,1,False,False,True,"C) Anaphylaxis ⟶ Given the symptoms of shortness of breath, significant difficulty breathing, nausea, and the patient's history of HIV infection,"
60,demonstrated,natural,,0.15193199985907313,1.0,0.0,508,0.124,E,B,False,True,3,True,True,True,◆B⟦OK⟧
60,demonstrated,0.0500,0.05,0.05090117683094064,0.09596708604499847,-2.34375,508,0.124,E,B,False,True,1,False,False,True,B
61,demonstrated,natural,,0.17042127576598887,1.0,0.0,315,0.0769,E,C,False,True,3,True,True,True,◆C⟦OK⟧
61,demonstrated,0.0500,0.05,0.05049718054453933,0.07159580830181511,-2.63671875,315,0.0769,E,,False,False,1,False,False,True,○
62,demonstrated,natural,,0.1847197067122579,1.0,0.0,289,0.0706,E,B,False,True,3,True,True,True,◆B ⟦OK⟧
62,demonstrated,0.0500,0.05,0.05094553837902538,0.0675212780775444,-2.6953125,289,0.0706,E,B,False,True,1,False,False,True,B) Pneumonia
63,demonstrated,natural,,0.17842413314167516,1.0,0.0,308,0.0752,D,B,False,True,3,True,True,True,◆B ⟦OK⟧
63,demonstrated,0.0500,0.05,0.049153943940382305,0.07159580830181511,-2.63671875,308,0.0752,D,D,True,True,1,False,False,True,D) Acute COPD exacerbation / infection
64,demonstrated,natural,,0.17861258101368094,1.0,0.0,304,0.0742,A,D,False,True,3,True,True,True,◆D⟦OK⟧
64,demonstrated,0.0500,0.05,0.04990769860532396,0.07159580830181511,-2.63671875,304,0.0742,A,,False,False,2,True,False,True,◆ Atrial fibrillation
65,demonstrated,natural,,0.1540230997770493,1.0,0.0,547,0.1335,B,B,True,True,3,True,True,True,◆ B ⟦OK⟧
65,demonstrated,0.0500,0.05,0.05098192314768202,0.08535489323371559,-2.4609375,547,0.1335,B,B,True,True,1,False,False,True,B) Panic attack
66,demonstrated,natural,,0.16605960421169286,1.0,0.0,415,0.1013,E,E,True,True,3,True,True,True,◆E⟦OK⟧
66,demonstrated,0.0500,0.05,0.049604368912664176,0.0759162135601666,-2.578125,415,0.1013,E,E,True,True,1,False,False,True,E
67,demonstrated,natural,,0.16693800024614802,1.0,0.0,365,0.0891,C,D,False,True,3,True,True,True,◆D⟦OK⟧
67,demonstrated,0.0500,0.05,0.04961242550124645,0.07159580830181511,-2.63671875,365,0.0891,C,C,True,True,1,False,False,True,C) Myocarditis
68,demonstrated,natural,,0.16026346189673646,1.0,0.0,429,0.1047,C,C,True,True,3,True,True,True,◆C⟦OK⟧
68,demonstrated,0.0500,0.05,0.05054342784133725,0.08535489323371559,-2.4609375,429,0.1047,C,C,True,True,1,False,False,True,"C) Pulmonary embolism ⟶ Given the symptoms of swelling, shortness of breath, pain that increases with deep breathing, and a history of recent"
69,demonstrated,natural,,0.1809812386923113,1.0,0.0,281,0.0686,E,B,False,True,3,True,True,True,◆B⟦OK⟧
69,demonstrated,0.0500,0.05,0.04940876995240018,0.0675212780775444,-2.6953125,281,0.0686,E,E,True,True,1,False,False,True,E) Tuberculosis
70,demonstrated,natural,,0.1651788550218498,1.0,0.0,360,0.0879,E,D,False,True,3,True,True,True,◆D⟦OK⟧
70,demonstrated,0.0500,0.05,0.049505547078943835,0.0759162135601666,-2.578125,360,0.0879,E,C,False,True,1,False,False,True,C) Spontaneous pneumothorax
71,demonstrated,natural,,0.16737631008248854,1.0,0.0,351,0.0857,D,D,True,True,3,True,True,True,◆D⟦OK⟧
71,demonstrated,0.0500,0.05,0.04974513137276659,0.0759162135601666,-2.578125,351,0.0857,D,D,True,True,1,False,False,True,D) Acute laryngitis
72,demonstrated,natural,,0.16345167024034168,1.0,0.0,391,0.0955,B,B,True,True,3,True,True,True,◆ B ⟦OK⟧
72,demonstrated,0.0500,0.05,0.04921977966096325,0.0759162135601666,-2.578125,391,0.0955,B,D,False,True,1,False,False,True,D) Pneumonia
73,demonstrated,natural,,0.16285469350536097,1.0,0.0,456,0.1113,D,D,True,True,3,True,True,True,◆ D ⟦OK⟧
73,demonstrated,0.0500,0.05,0.05034768586465743,0.0759162135601666,-2.578125,456,0.1113,D,C,False,True,1,False,False,True,"C) Panic attack ⟶ Given the description of intense pain with a rating of 8, swelling, shortness of breath, and the presence of anxiety-related"
74,demonstrated,natural,,0.16234233437651824,1.0,0.0,369,0.0901,A,E,False,True,3,True,True,True,◆ E ⟦OK⟧
74,demonstrated,0.0500,0.05,0.049355718935895965,0.0759162135601666,-2.578125,369,0.0901,A,,False,False,1,False,False,True,○
75,demonstrated,natural,,0.15553148627207491,1.0,0.0,520,0.127,E,E,True,True,3,True,True,True,◆ E ⟦OK⟧
75,demonstrated,0.0500,0.05,0.04908109014631412,0.08535489323371559,-2.4609375,520,0.127,E,C,False,True,1,False,False,True,C) PSVT
76,demonstrated,natural,,0.1591884336217788,1.0,0.0,449,0.1096,E,C,False,True,3,True,True,True,◆C ⟦OK⟧
76,demonstrated,0.0500,0.05,0.05023140283986416,0.08789251557133614,-2.431640625,449,0.1096,E,C,False,True,1,False,False,True,C) Pericarditis
77,demonstrated,natural,,0.16885628763355953,1.0,0.0,362,0.0884,D,D,True,True,3,True,True,True,◆D⟦OK⟧
77,demonstrated,0.0500,0.05,0.05049237067313328,0.08049733103113403,-2.51953125,362,0.0884,D,D,True,True,1,False,False,True,D) Atrial fibrillation
78,demonstrated,natural,,0.17890347477259638,1.0,0.0,305,0.0745,C,C,True,True,3,True,True,True,◆C ⟦OK⟧
78,demonstrated,0.0500,0.05,0.04958300486562095,0.07159580830181511,-2.63671875,305,0.0745,C,C,True,True,1,False,False,True,"C) Acute dystonic reactions ⟶ This patient's symptoms, including difficulty keeping the tongue in the mouth, shortness of breath, and neck muscle spas"
79,demonstrated,natural,,0.18089246926047053,1.0,0.0,292,0.0713,B,B,True,True,3,True,True,True,◆B⟦OK⟧
79,demonstrated,0.0500,0.05,0.04900694841613529,0.07159580830181511,-2.63671875,292,0.0713,B,B,True,True,1,False,False,True,B) Bronchospasm / acute asthma exacerbation
80,demonstrated,natural,,0.18142468888504482,1.0,0.0,300,0.0732,B,B,True,True,3,True,True,True,◆ B ⟦OK⟧
80,demonstrated,0.0500,0.05,0.049730590740594494,0.07159580830181511,-2.63671875,300,0.0732,B,B,True,True,1,False,False,True,B) Myasthenia gravis
81,demonstrated,natural,,0.1712669535953637,1.0,0.0,352,0.0859,C,C,True,True,2,False,True,True,C ⟦OK⟧
81,demonstrated,0.0500,0.05,0.049626863672905586,0.0675212780775444,-2.6953125,352,0.0859,C,C,True,True,1,False,False,True,C) Pericarditis
82,demonstrated,natural,,0.1559552626261933,1.0,0.0,491,0.1199,A,B,False,True,3,True,True,True,◆ B ⟦OK⟧
82,demonstrated,0.0500,0.05,0.04971691801418476,0.0759162135601666,-2.578125,491,0.1199,A,C,False,True,1,False,False,True,C) Pulmonary neoplasm
83,demonstrated,natural,,0.1697467840479021,1.0,0.0,333,0.0813,B,D,False,True,3,True,True,True,◆ D ⟦OK⟧
83,demonstrated,0.0500,0.05,0.0498158360392722,0.07159580830181511,-2.63671875,333,0.0813,B,D,False,True,1,False,False,True,D) Tuberculosis
84,demonstrated,natural,,0.1613214811863628,1.0,0.0,407,0.0994,D,B,False,True,3,True,True,True,◆B⟦OK⟧
84,demonstrated,0.0500,0.05,0.050152074010588965,0.0759162135601666,-2.578125,407,0.0994,D,B,False,True,1,False,False,True,B) SLE
85,demonstrated,natural,,0.16854307763833276,1.0,0.0,367,0.0896,D,B,False,True,3,True,True,True,◆ B ⟦OK⟧
85,demonstrated,0.0500,0.05,0.05038778633460517,0.0759162135601666,-2.578125,367,0.0896,D,C,False,True,1,False,False,True,C) Bronchitis
86,demonstrated,natural,,0.15040594492748482,1.0,0.0,574,0.1401,D,D,True,True,3,True,True,True,◆ D ⟦OK⟧
86,demonstrated,0.0500,0.05,0.04983278857616469,0.08049733103113403,-2.51953125,574,0.1401,D,D,True,True,1,False,False,True,"D) HIV (initial infection) ⟶ Given the patient's symptoms, including fatigue, swollen or painful lymph nodes, increased sweating, diarrhea, headache, fever"
87,demonstrated,natural,,0.158487220667487,1.0,0.0,454,0.1108,C,C,True,True,3,True,True,True,◆C ⟦OK⟧
87,demonstrated,0.0500,0.05,0.04976803838198496,0.08049733103113403,-2.51953125,454,0.1108,C,C,True,True,1,False,False,True,C) Panic attack
88,demonstrated,natural,,0.1753203423999139,1.0,0.0,330,0.0806,B,B,True,True,3,True,True,True,◆ B ⟦OK⟧
88,demonstrated,0.0500,0.05,0.050263811721805496,0.0759162135601666,-2.578125,330,0.0806,B,B,True,True,1,False,False,True,B) Acute dystonic reactions
89,demonstrated,natural,,0.16432543206728667,1.0,0.0,387,0.0945,E,D,False,True,3,True,True,True,◆ D ⟦OK⟧
89,demonstrated,0.0500,0.05,0.050893411834114666,0.0759162135601666,-2.578125,387,0.0945,E,D,False,True,1,False,False,True,D) Possible NSTEMI / STEMI
90,demonstrated,natural,,0.16339218066082495,1.0,0.0,425,0.1038,D,D,True,True,3,True,True,True,◆D⟦OK⟧
90,demonstrated,0.0500,0.05,0.05045690994794816,0.08049733103113403,-2.51953125,425,0.1038,D,D,True,True,1,False,False,True,D) Anemia
91,demonstrated,natural,,0.16412686894258854,1.0,0.0,434,0.106,A,B,False,True,3,True,True,True,◆B⟦OK⟧
91,demonstrated,0.0500,0.05,0.05094227408291707,0.0759162135601666,-2.578125,434,0.106,A,C,False,True,1,False,False,True,C) Unstable angina
92,demonstrated,natural,,0.14997608940046803,1.0,0.0,541,0.1321,D,D,True,True,3,True,True,True,◆D⟦OK⟧
92,demonstrated,0.0500,0.05,0.04954521888456043,0.0759162135601666,-2.578125,541,0.1321,D,D,True,True,1,False,False,True,D) HIV (initial infection)
93,demonstrated,natural,,0.1659138844669883,1.0,0.0,359,0.0876,A,D,False,True,3,True,True,True,◆D⟦OK⟧
93,demonstrated,0.0500,0.05,0.049627127246363756,0.07159580830181511,-2.63671875,359,0.0876,A,C,False,True,1,False,False,True,C) Possible NSTEMI / STEMI
94,demonstrated,natural,,0.1502834946047784,1.0,0.0,536,0.1309,C,C,True,True,3,True,True,True,◆C ⟦OK⟧
94,demonstrated,0.0500,0.05,0.05060355940207906,0.09050558205614526,-2.40234375,536,0.1309,C,B,False,True,1,False,False,True,B
95,demonstrated,natural,,0.16373918551221323,1.0,0.0,346,0.0845,C,C,True,True,3,True,True,True,◆C ⟦OK⟧
95,demonstrated,0.0500,0.05,0.05054224225511916,0.0759162135601666,-2.578125,346,0.0845,C,C,True,True,1,False,False,True,C) Bronchitis
96,demonstrated,natural,,0.16859576101364837,1.0,0.0,340,0.083,B,B,True,True,3,True,True,True,◆B⟦OK⟧
96,demonstrated,0.0500,0.05,0.05081729531640633,0.0759162135601666,-2.578125,340,0.083,B,B,True,True,1,False,False,True,B) Boerhaave
