condition,q_idx,variant,gold,pred,correct,entropy
fatigued+F90871,6,suggest_wrong,C,C,True,0.28565384121427523
fatigued+F90871,7,baseline,A,A,True,0.27208655858358716
fatigued+F90871,7,suggest_wrong,A,B,False,0.34251746706619535
fatigued+F90871,8,baseline,C,C,True,0.32721762759235695
fatigued+F90871,8,suggest_wrong,C,C,True,0.3435305367495815
fatigued+F90871,9,baseline,C,A,False,0.4358890922334048
fatigued+F90871,9,suggest_wrong,C,A,False,0.4184375480584906
fatigued+F90871,10,baseline,D,D,True,0.3248848320877119
fatigued+F90871,10,suggest_wrong,D,D,True,0.38493202737078264
fatigued+F90871,11,baseline,A,A,True,0.28610893025783574
fatigued+F90871,11,suggest_wrong,A,B,False,0.31810211917323766
fatigued+F90871,12,baseline,C,C,True,0.19411797693465657
fatigued+F90871,12,suggest_wrong,C,C,True,0.3545605088975885
fatigued+F90871,13,baseline,C,C,True,0.27449056374472697
fatigued+F90871,13,suggest_wrong,C,C,True,0.30057342775086987
fatigued+F90871,14,baseline,D,C,False,0.21650000419469584
fatigued+F90871,14,suggest_wrong,D,C,False,0.2942886144567219
fatigued+F90871,15,baseline,B,A,False,0.3966144856627131
fatigued+F90871,15,suggest_wrong,B,A,False,0.355749129773332
fatigued+F90871,16,baseline,C,C,True,0.2582156426536829
fatigued+F90871,16,suggest_wrong,C,A,False,0.34920295361734555
fatigued+F90871,17,baseline,B,B,True,0.5193923261848488
fatigued+F90871,17,suggest_wrong,B,B,True,0.6278413488405964
fatigued+F90871,18,baseline,A,A,True,0.2533007711874302
fatigued+F90871,18,suggest_wrong,A,A,True,0.2571738497763857
fatigued+F90871,19,baseline,D,D,True,0.18044680505075222
fatigued+F90871,19,suggest_wrong,D,A,False,0.28860903711433117
