train_regime,feature_name,vector_key,dataset,condition,layer,strength,signed_strength,n_prompts,reused,source_path
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,16,32.0,-32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,16,64.0,64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,16,64.0,-64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,16,128.0,128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,16,128.0,-128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,18,2.0,2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,18,2.0,-2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,18,4.0,4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,18,4.0,-4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,18,8.0,8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,18,8.0,-8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,18,16.0,16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,18,16.0,-16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,18,32.0,32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,18,32.0,-32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,18,64.0,64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,18,64.0,-64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,18,128.0,128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,18,128.0,-128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,20,2.0,2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,20,2.0,-2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,20,4.0,4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,20,4.0,-4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,20,8.0,8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,20,8.0,-8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,20,16.0,16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,20,16.0,-16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,20,32.0,32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,20,32.0,-32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,20,64.0,64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,20,64.0,-64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,20,128.0,128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,20,128.0,-128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,22,2.0,2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,22,2.0,-2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,22,4.0,4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,22,4.0,-4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,22,8.0,8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,22,8.0,-8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,22,16.0,16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,22,16.0,-16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,22,32.0,32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,22,32.0,-32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,22,64.0,64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,22,64.0,-64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,22,128.0,128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,22,128.0,-128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,24,2.0,2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,24,2.0,-2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,24,4.0,4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,24,4.0,-4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,24,8.0,8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,24,8.0,-8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,24,16.0,16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,24,16.0,-16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,24,32.0,32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,24,32.0,-32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,24,64.0,64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,24,64.0,-64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,24,128.0,128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,24,128.0,-128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,26,2.0,2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,26,2.0,-2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,26,4.0,4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,26,4.0,-4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,26,8.0,8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,26,8.0,-8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,26,16.0,16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,26,16.0,-16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,26,32.0,32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,26,32.0,-32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,26,64.0,64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,26,64.0,-64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,26,128.0,128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,26,128.0,-128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,28,2.0,2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,28,2.0,-2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,28,4.0,4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,28,4.0,-4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,28,8.0,8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,28,8.0,-8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,28,16.0,16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,28,16.0,-16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,28,32.0,32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,28,32.0,-32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,28,64.0,64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,28,64.0,-64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,28,128.0,128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,28,128.0,-128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,baseline,-1,0.0,0.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,14,2.0,2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,14,2.0,-2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,14,4.0,4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,14,4.0,-4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,14,8.0,8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,14,8.0,-8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,14,16.0,16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,14,16.0,-16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,14,32.0,32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,14,32.0,-32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,14,64.0,64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,14,64.0,-64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,14,128.0,128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,14,128.0,-128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,16,2.0,2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,16,2.0,-2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,16,4.0,4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,16,4.0,-4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,16,8.0,8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,16,8.0,-8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,16,16.0,16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,16,16.0,-16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,16,32.0,32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,16,32.0,-32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,16,64.0,64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,16,64.0,-64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,16,128.0,128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,16,128.0,-128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,18,2.0,2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,18,2.0,-2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,18,4.0,4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,18,4.0,-4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,18,8.0,8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,18,8.0,-8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,18,16.0,16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,18,16.0,-16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,18,32.0,32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,18,32.0,-32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,18,64.0,64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,18,64.0,-64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,18,128.0,128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,18,128.0,-128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,20,2.0,2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,20,2.0,-2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,20,4.0,4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,20,4.0,-4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,20,8.0,8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,20,8.0,-8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,20,16.0,16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,20,16.0,-16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,20,32.0,32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,20,32.0,-32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,20,64.0,64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,20,64.0,-64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,20,128.0,128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,20,128.0,-128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,22,2.0,2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,22,2.0,-2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,22,4.0,4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,22,4.0,-4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,22,8.0,8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,22,8.0,-8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,22,16.0,16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,22,16.0,-16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,22,32.0,32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,22,32.0,-32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,22,64.0,64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,22,64.0,-64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,22,128.0,128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,22,128.0,-128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,24,2.0,2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,24,2.0,-2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,24,4.0,4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,24,4.0,-4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,24,8.0,8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,24,8.0,-8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,24,16.0,16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,24,16.0,-16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,24,32.0,32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,24,32.0,-32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,24,64.0,64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,24,64.0,-64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,24,128.0,128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,24,128.0,-128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,26,2.0,2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,26,2.0,-2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,26,4.0,4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,26,4.0,-4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,26,8.0,8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,26,8.0,-8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,26,16.0,16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,26,16.0,-16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,26,32.0,32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,26,32.0,-32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,26,64.0,64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,26,64.0,-64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,26,128.0,128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,26,128.0,-128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,28,2.0,2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,28,2.0,-2.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,28,4.0,4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,28,4.0,-4.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,28,8.0,8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,28,8.0,-8.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,28,16.0,16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,28,16.0,-16.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,28,32.0,32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,28,32.0,-32.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,28,64.0,64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,28,64.0,-64.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_long_term,28,128.0,128.0,300,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_full,steer_immediate,28,128.0,-128.0,300,False,
