dataset,condition,layer,strength,signed_strength,n_prompts,reused,source_path
explicit_test,steer_long_term,28,4.0,4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,28,4.0,-4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,28,8.0,8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,28,8.0,-8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,28,16.0,16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,28,16.0,-16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,28,32.0,32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,28,32.0,-32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,28,64.0,64.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,28,64.0,-64.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,28,128.0,128.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,28,128.0,-128.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,32,2.0,2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,32,2.0,-2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,32,4.0,4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,32,4.0,-4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,32,8.0,8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,32,8.0,-8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,32,16.0,16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,32,16.0,-16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,32,32.0,32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,32,32.0,-32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,32,64.0,64.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,32,64.0,-64.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,32,128.0,128.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,32,128.0,-128.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,36,2.0,2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,36,2.0,-2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,36,4.0,4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,36,4.0,-4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,36,8.0,8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,36,8.0,-8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,36,16.0,16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,36,16.0,-16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,36,32.0,32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,36,32.0,-32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,36,64.0,64.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,36,64.0,-64.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,36,128.0,128.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,36,128.0,-128.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,40,2.0,2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,40,2.0,-2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,40,4.0,4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,40,4.0,-4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,40,8.0,8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,40,8.0,-8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,40,16.0,16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,40,16.0,-16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,40,32.0,32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,40,32.0,-32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,40,64.0,64.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,40,64.0,-64.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_long_term,40,128.0,128.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
explicit_test,steer_immediate,40,128.0,-128.0,100,False,
explicit_test,steer_long_term,44,2.0,2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength2_steer_long_term_logs.csv
explicit_test,steer_immediate,44,2.0,-2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength2_steer_immediate_logs.csv
explicit_test,steer_long_term,44,4.0,4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength4_steer_long_term_logs.csv
explicit_test,steer_immediate,44,4.0,-4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength4_steer_immediate_logs.csv
explicit_test,steer_long_term,44,8.0,8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength8_steer_long_term_logs.csv
explicit_test,steer_immediate,44,8.0,-8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength8_steer_immediate_logs.csv
explicit_test,steer_long_term,44,16.0,16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength16_steer_long_term_logs.csv
explicit_test,steer_immediate,44,16.0,-16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength16_steer_immediate_logs.csv
explicit_test,steer_long_term,44,32.0,32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength32_steer_long_term_logs.csv
explicit_test,steer_immediate,44,32.0,-32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer44_strength32_steer_immediate_logs.csv
explicit_test,steer_long_term,44,64.0,64.0,100,False,
explicit_test,steer_immediate,44,64.0,-64.0,100,False,
explicit_test,steer_long_term,44,128.0,128.0,100,False,
explicit_test,steer_immediate,44,128.0,-128.0,100,False,
explicit_test,steer_long_term,48,2.0,2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength2_steer_long_term_logs.csv
explicit_test,steer_immediate,48,2.0,-2.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength2_steer_immediate_logs.csv
explicit_test,steer_long_term,48,4.0,4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength4_steer_long_term_logs.csv
explicit_test,steer_immediate,48,4.0,-4.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength4_steer_immediate_logs.csv
explicit_test,steer_long_term,48,8.0,8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength8_steer_long_term_logs.csv
explicit_test,steer_immediate,48,8.0,-8.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength8_steer_immediate_logs.csv
explicit_test,steer_long_term,48,16.0,16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength16_steer_long_term_logs.csv
explicit_test,steer_immediate,48,16.0,-16.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength16_steer_immediate_logs.csv
explicit_test,steer_long_term,48,32.0,32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength32_steer_long_term_logs.csv
explicit_test,steer_immediate,48,32.0,-32.0,100,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/explicit_test_mm_layer48_strength32_steer_immediate_logs.csv
explicit_test,steer_long_term,48,64.0,64.0,100,False,
explicit_test,steer_immediate,48,64.0,-64.0,100,False,
explicit_test,steer_long_term,48,128.0,128.0,100,False,
explicit_test,steer_immediate,48,128.0,-128.0,100,False,
implicit_full,baseline,-1,0.0,0.0,300,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv
implicit_full,steer_long_term,24,2.0,2.0,300,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/implicit_full_mm_layer24_strength2_steer_long_term_logs.csv
implicit_full,steer_immediate,24,2.0,-2.0,300,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/implicit_full_mm_layer24_strength2_steer_immediate_logs.csv
implicit_full,steer_long_term,24,4.0,4.0,300,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/implicit_full_mm_layer24_strength4_steer_long_term_logs.csv
implicit_full,steer_immediate,24,4.0,-4.0,300,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/implicit_full_mm_layer24_strength4_steer_immediate_logs.csv
implicit_full,steer_long_term,24,8.0,8.0,300,True,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/partial/implicit_full_mm_layer24_strength8_steer_long_term_logs.csv
implicit_full,steer_immediate,24,8.0,-8.0,300,False,
implicit_full,steer_long_term,24,16.0,16.0,300,False,
implicit_full,steer_immediate,24,16.0,-16.0,300,False,
implicit_full,steer_long_term,24,32.0,32.0,300,False,
implicit_full,steer_immediate,24,32.0,-32.0,300,False,
implicit_full,steer_long_term,24,64.0,64.0,300,False,
implicit_full,steer_immediate,24,64.0,-64.0,300,False,
implicit_full,steer_long_term,24,128.0,128.0,300,False,
implicit_full,steer_immediate,24,128.0,-128.0,300,False,
implicit_full,steer_long_term,28,2.0,2.0,300,False,
implicit_full,steer_immediate,28,2.0,-2.0,300,False,
implicit_full,steer_long_term,28,4.0,4.0,300,False,
implicit_full,steer_immediate,28,4.0,-4.0,300,False,
implicit_full,steer_long_term,28,8.0,8.0,300,False,
implicit_full,steer_immediate,28,8.0,-8.0,300,False,
implicit_full,steer_long_term,28,16.0,16.0,300,False,
implicit_full,steer_immediate,28,16.0,-16.0,300,False,
implicit_full,steer_long_term,28,32.0,32.0,300,False,
implicit_full,steer_immediate,28,32.0,-32.0,300,False,
implicit_full,steer_long_term,28,64.0,64.0,300,False,
implicit_full,steer_immediate,28,64.0,-64.0,300,False,
implicit_full,steer_long_term,28,128.0,128.0,300,False,
implicit_full,steer_immediate,28,128.0,-128.0,300,False,
implicit_full,steer_long_term,32,2.0,2.0,300,False,
implicit_full,steer_immediate,32,2.0,-2.0,300,False,
implicit_full,steer_long_term,32,4.0,4.0,300,False,
implicit_full,steer_immediate,32,4.0,-4.0,300,False,
implicit_full,steer_long_term,32,8.0,8.0,300,False,
implicit_full,steer_immediate,32,8.0,-8.0,300,False,
implicit_full,steer_long_term,32,16.0,16.0,300,False,
implicit_full,steer_immediate,32,16.0,-16.0,300,False,
implicit_full,steer_long_term,32,32.0,32.0,300,False,
implicit_full,steer_immediate,32,32.0,-32.0,300,False,
implicit_full,steer_long_term,32,64.0,64.0,300,False,
implicit_full,steer_immediate,32,64.0,-64.0,300,False,
implicit_full,steer_long_term,32,128.0,128.0,300,False,
implicit_full,steer_immediate,32,128.0,-128.0,300,False,
implicit_full,steer_long_term,36,2.0,2.0,300,False,
implicit_full,steer_immediate,36,2.0,-2.0,300,False,
implicit_full,steer_long_term,36,4.0,4.0,300,False,
implicit_full,steer_immediate,36,4.0,-4.0,300,False,
implicit_full,steer_long_term,36,8.0,8.0,300,False,
implicit_full,steer_immediate,36,8.0,-8.0,300,False,
implicit_full,steer_long_term,36,16.0,16.0,300,False,
implicit_full,steer_immediate,36,16.0,-16.0,300,False,
implicit_full,steer_long_term,36,32.0,32.0,300,False,
implicit_full,steer_immediate,36,32.0,-32.0,300,False,
implicit_full,steer_long_term,36,64.0,64.0,300,False,
implicit_full,steer_immediate,36,64.0,-64.0,300,False,
implicit_full,steer_long_term,36,128.0,128.0,300,False,
implicit_full,steer_immediate,36,128.0,-128.0,300,False,
implicit_full,steer_long_term,40,2.0,2.0,300,False,
implicit_full,steer_immediate,40,2.0,-2.0,300,False,
implicit_full,steer_long_term,40,4.0,4.0,300,False,
implicit_full,steer_immediate,40,4.0,-4.0,300,False,
implicit_full,steer_long_term,40,8.0,8.0,300,False,
implicit_full,steer_immediate,40,8.0,-8.0,300,False,
implicit_full,steer_long_term,40,16.0,16.0,300,False,
implicit_full,steer_immediate,40,16.0,-16.0,300,False,
implicit_full,steer_long_term,40,32.0,32.0,300,False,
implicit_full,steer_immediate,40,32.0,-32.0,300,False,
implicit_full,steer_long_term,40,64.0,64.0,300,False,
implicit_full,steer_immediate,40,64.0,-64.0,300,False,
implicit_full,steer_long_term,40,128.0,128.0,300,False,
implicit_full,steer_immediate,40,128.0,-128.0,300,False,
implicit_full,steer_long_term,44,2.0,2.0,300,False,
implicit_full,steer_immediate,44,2.0,-2.0,300,False,
implicit_full,steer_long_term,44,4.0,4.0,300,False,
implicit_full,steer_immediate,44,4.0,-4.0,300,False,
implicit_full,steer_long_term,44,8.0,8.0,300,False,
implicit_full,steer_immediate,44,8.0,-8.0,300,False,
implicit_full,steer_long_term,44,16.0,16.0,300,False,
implicit_full,steer_immediate,44,16.0,-16.0,300,False,
implicit_full,steer_long_term,44,32.0,32.0,300,False,
implicit_full,steer_immediate,44,32.0,-32.0,300,False,
implicit_full,steer_long_term,44,64.0,64.0,300,False,
implicit_full,steer_immediate,44,64.0,-64.0,300,False,
implicit_full,steer_long_term,44,128.0,128.0,300,False,
implicit_full,steer_immediate,44,128.0,-128.0,300,False,
implicit_full,steer_long_term,48,2.0,2.0,300,False,
implicit_full,steer_immediate,48,2.0,-2.0,300,False,
implicit_full,steer_long_term,48,4.0,4.0,300,False,
implicit_full,steer_immediate,48,4.0,-4.0,300,False,
implicit_full,steer_long_term,48,8.0,8.0,300,False,
implicit_full,steer_immediate,48,8.0,-8.0,300,False,
implicit_full,steer_long_term,48,16.0,16.0,300,False,
implicit_full,steer_immediate,48,16.0,-16.0,300,False,
implicit_full,steer_long_term,48,32.0,32.0,300,False,
implicit_full,steer_immediate,48,32.0,-32.0,300,False,
implicit_full,steer_long_term,48,64.0,64.0,300,False,
implicit_full,steer_immediate,48,64.0,-64.0,300,False,
implicit_full,steer_long_term,48,128.0,128.0,300,False,
implicit_full,steer_immediate,48,128.0,-128.0,300,False,
