train_dataset,train_dataset_label,feature_name,layer,base_train_size,extra_train_size,train_size,lr_train_acc,lr_explicit_test_acc,lr_implicit_acc,wlr_train_acc,wlr_explicit_test_acc,wlr_implicit_acc,mm_train_acc,mm_explicit_test_acc,mm_implicit_acc,wmm_train_acc,wmm_explicit_test_acc,wmm_implicit_acc,whitener_cov_reg_condition_number,wmm_reg,mm_raw_norm,mm_steering_norm,wmm_raw_norm,wmm_steering_norm
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",last_answer_token,10,800,190,990,1.0,0.985,0.8466666666666667,1.0,0.905,0.7366666666666667,0.8747474747474747,0.875,0.6383333333333333,1.0,0.935,0.7666666666666667,27161.615548776095,0.01,10.616729736328125,0.9999999403953552,3.2838451862335205,1.0
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",last_answer_token,14,800,190,990,1.0,1.0,0.885,1.0,0.96,0.7933333333333333,0.8787878787878788,0.9,0.6416666666666667,1.0,0.97,0.825,27093.799893328953,0.01,11.818154335021973,1.0,2.765404224395752,1.0
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",last_answer_token,18,800,190,990,1.0,1.0,0.925,1.0,0.985,0.845,0.706060606060606,0.675,0.5083333333333333,1.0,0.985,0.8616666666666667,28468.06684577673,0.01,14.042922019958496,1.0,1.9164605140686035,1.0
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",last_answer_token,22,800,190,990,1.0,1.0,0.9316666666666666,1.0,0.995,0.8466666666666667,0.7494949494949495,0.74,0.53,1.0,1.0,0.8583333333333333,31266.80841953302,0.01,22.853199005126953,0.9999999403953552,1.2241109609603882,1.0
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",last_answer_token,26,800,190,990,1.0,1.0,0.925,1.0,1.0,0.8566666666666667,0.802020202020202,0.83,0.615,1.0,1.0,0.885,33578.20717867615,0.01,33.81367874145508,0.9999998807907104,0.8046234250068665,0.9999999403953552
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",mean_answer_tokens,10,800,190,990,1.0,0.99,0.8266666666666667,1.0,0.975,0.7316666666666667,0.9696969696969697,0.98,0.83,1.0,0.975,0.7316666666666667,17347.054653690513,0.01,7.760690212249756,1.0,3.6413259506225586,0.9999999403953552
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",mean_answer_tokens,14,800,190,990,1.0,0.99,0.89,1.0,0.985,0.78,0.9656565656565657,0.985,0.8316666666666667,1.0,0.985,0.8133333333333334,19511.955355463695,0.01,9.02627944946289,0.9999999403953552,3.3473737239837646,0.9999999403953552
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",mean_answer_tokens,18,800,190,990,1.0,1.0,0.9416666666666667,1.0,0.985,0.74,0.9333333333333333,0.955,0.7033333333333334,1.0,0.99,0.7616666666666667,23938.60777953937,0.01,10.825048446655273,0.9999999403953552,2.3578433990478516,1.0
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",mean_answer_tokens,22,800,190,990,1.0,1.0,0.93,1.0,0.985,0.7883333333333333,0.9373737373737374,0.97,0.67,1.0,0.985,0.8383333333333334,28457.055334687553,0.01,19.053686141967773,1.0,1.5585473775863647,1.0
explicit_train_plus_redteam_20260322-090107,"+ March 22, 2026 red-team",mean_answer_tokens,26,800,190,990,1.0,1.0,0.8983333333333333,1.0,0.99,0.7683333333333333,0.9878787878787879,0.98,0.895,1.0,0.99,0.7833333333333333,24380.928015231202,0.01,30.715030670166016,1.0,0.9221481680870056,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",last_answer_token,10,800,390,1190,1.0,0.98,0.84,1.0,0.905,0.71,0.8327731092436975,0.855,0.62,1.0,0.925,0.75,24400.649277938697,0.01,9.629931449890137,1.0,3.6684303283691406,0.9999999403953552
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",last_answer_token,14,800,390,1190,1.0,0.995,0.8966666666666666,1.0,0.955,0.8033333333333333,0.8285714285714286,0.875,0.6366666666666667,1.0,0.975,0.8316666666666667,24451.04415460192,0.01,10.710180282592773,0.9999999403953552,3.1396591663360596,0.9999999403953552
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",last_answer_token,18,800,390,1190,1.0,1.0,0.9216666666666666,1.0,0.975,0.7983333333333333,0.7016806722689075,0.705,0.5083333333333333,1.0,0.985,0.8283333333333334,25594.377503306958,0.01,12.827597618103027,1.0,2.301712989807129,0.9999999403953552
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",last_answer_token,22,800,390,1190,1.0,1.0,0.9166666666666666,1.0,0.985,0.805,0.711764705882353,0.745,0.555,1.0,0.99,0.8316666666666667,27431.68882011383,0.01,22.017440795898438,1.0,1.4838892221450806,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",last_answer_token,26,800,390,1190,1.0,1.0,0.9016666666666666,1.0,0.98,0.89,0.7563025210084033,0.825,0.62,1.0,0.99,0.895,32371.39806759977,0.01,33.90264129638672,1.0,1.0003048181533813,0.9999999403953552
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",mean_answer_tokens,10,800,390,1190,1.0,0.985,0.8916666666666667,1.0,0.955,0.7083333333333334,0.946218487394958,0.975,0.7933333333333333,1.0,0.975,0.7283333333333334,18420.488302020127,0.01,7.023562431335449,1.0,4.655407428741455,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",mean_answer_tokens,14,800,390,1190,1.0,0.99,0.935,1.0,0.97,0.7566666666666667,0.9504201680672268,0.975,0.82,1.0,0.98,0.7833333333333333,23298.21066254046,0.01,8.23682975769043,0.9999999403953552,4.401534557342529,0.9999999403953552
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",mean_answer_tokens,18,800,390,1190,1.0,1.0,0.9433333333333334,1.0,0.98,0.8066666666666666,0.8949579831932774,0.93,0.6666666666666666,1.0,0.99,0.8183333333333334,27647.97967714547,0.01,10.092656135559082,1.0,3.0927391052246094,0.9999999403953552
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",mean_answer_tokens,22,800,390,1190,1.0,1.0,0.91,1.0,0.98,0.8383333333333334,0.8630252100840337,0.94,0.605,1.0,0.98,0.8383333333333334,31255.79188906878,0.01,18.114505767822266,1.0,2.004960298538208,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"+ March 22 + April 3, 2026 red-team",mean_answer_tokens,26,800,390,1190,1.0,1.0,0.87,1.0,0.99,0.7066666666666667,0.980672268907563,0.975,0.8433333333333334,1.0,0.99,0.705,26678.21651369949,0.01,29.043794631958008,0.9999999403953552,1.1462671756744385,1.0
