probe,gold,pathology,ctx_tokens,level,target_share,achieved_share,scale,pred,correct
6,D,Pulmonary embolism,3107,0.017,0.0172,0.017152514002627208,0.32847936791032617,E,False
6,D,Pulmonary embolism,3107,0.012,0.0123,0.012371618251246216,0.21166840101912124,D,True
6,D,Pulmonary embolism,3107,0.009,0.0088,0.009215897843836588,0.13441329461752805,D,True
6,D,Pulmonary embolism,3107,0.007,0.007,0.007030239462722127,0.11274606657056462,D,True
7,D,URTI,3033,natural,,0.03673009582471738,1.0,D,True
7,D,URTI,3033,0.034,0.0335,0.03358422455373679,0.8220756540840204,D,True
7,D,URTI,3033,0.024,0.024,0.023922463159929318,0.5326542177657382,D,True
7,D,URTI,3033,0.017,0.0172,0.01724221815670431,0.3508616540390219,D,True
7,D,URTI,3033,0.012,0.0123,0.01223294038834285,0.21166840101912124,D,True
7,D,URTI,3033,0.009,0.0088,0.008802300836464385,0.1286343687209221,D,True
7,D,URTI,3033,0.007,0.007,0.007018268362785433,0.0931963356615203,D,True
8,E,HIV (initial infection),3282,natural,,0.04207101888970355,1.0,E,True
8,E,HIV (initial infection),3282,0.034,0.0335,0.03344096693358131,0.6733380229513618,E,True
8,E,HIV (initial infection),3282,0.024,0.024,0.024061700554652895,0.43389142998594615,E,True
8,E,HIV (initial infection),3282,0.017,0.0172,0.017094627278944972,0.25984856758801733,E,True
8,E,HIV (initial infection),3282,0.012,0.0123,0.01225675124414666,0.15335496684492847,A,False
8,E,HIV (initial infection),3282,0.009,0.0088,0.00899899442135462,0.10175816115137408,A,False
8,E,HIV (initial infection),3282,0.007,0.007,0.006926664080262469,0.0675212780775444,A,False
9,D,Possible NSTEMI / STEMI,3093,natural,,0.03722757982062895,1.0,D,True
9,D,Possible NSTEMI / STEMI,3093,0.034,0.0335,0.03355213909573161,0.8056833713889101,D,True
9,D,Possible NSTEMI / STEMI,3093,0.024,0.024,0.023923432492807952,0.5326542177657382,D,True
9,D,Possible NSTEMI / STEMI,3093,0.017,0.0172,0.017165608974233717,0.35344087540492714,D,True
9,D,Possible NSTEMI / STEMI,3093,0.012,0.0123,0.012378535617131939,0.23798518027535226,D,True
9,D,Possible NSTEMI / STEMI,3093,0.009,0.0088,0.008851807263541548,0.15335496684492847,D,True
9,D,Possible NSTEMI / STEMI,3093,0.007,0.007,0.007107888211978381,0.12310390027499832,D,True
10,D,Acute dystonic reactions,3080,natural,,0.03420459179263765,1.0,D,True
10,D,Acute dystonic reactions,3080,0.034,0.0335,0.03348291875938051,0.9125131940702098,D,True
10,D,Acute dystonic reactions,3080,0.024,0.024,0.023907582646817197,0.548490160967366,D,True
10,D,Acute dystonic reactions,3080,0.017,0.0172,0.017284625383136805,0.30084145667800716,B,False
10,D,Acute dystonic reactions,3080,0.012,0.0123,0.012728868596685466,0.13441329461752805,B,False
10,D,Acute dystonic reactions,3080,0.009,0.0088,0.008799835975987345,0.08049733103113403,B,False
10,D,Acute dystonic reactions,3080,0.007,0.007,0.007066247444991973,0.0675212780775444,A,False
11,D,Influenza,3150,natural,,0.041542205393439814,1.0,E,False
11,D,Influenza,3150,0.034,0.0335,0.033520595575687394,0.6933565308901157,E,False
11,D,Influenza,3150,0.024,0.024,0.024098760368321124,0.440294041117178,E,False
11,D,Influenza,3150,0.017,0.0172,0.01721780702211011,0.2715223187896751,E,False
11,D,Influenza,3150,0.012,0.0123,0.012251606394789352,0.16744348711569607,E,False
11,D,Influenza,3150,0.009,0.0088,0.008701127552938085,0.1213137638466268,E,False
11,D,Influenza,3150,0.007,0.007,0.006954739091515693,0.08789251557133614,E,False
12,C,Viral pharyngitis,3117,natural,,0.03986316806815911,1.0,C,True
12,C,Viral pharyngitis,3117,0.034,0.0335,0.033559916112368894,0.7271638012441264,C,True
12,C,Viral pharyngitis,3117,0.024,0.024,0.023954851453806426,0.440294041117178,C,True
12,C,Viral pharyngitis,3117,0.017,0.0172,0.017194025258373834,0.2755289704553164,B,False
12,C,Viral pharyngitis,3117,0.012,0.0123,0.012284021166992553,0.19962231455216262,B,False
12,C,Viral pharyngitis,3117,0.009,0.0088,0.008884619831264026,0.14045183996771032,B,False
12,C,Viral pharyngitis,3117,0.007,0.007,0.0070093746313319,0.10789869514276741,B,False
13,D,Panic attack,3221,natural,,0.03935788014789882,1.0,D,True
13,D,Panic attack,3221,0.034,0.0335,0.033480077562569724,0.7460454542533906,D,True
13,D,Panic attack,3221,0.024,0.024,0.02395879512983282,0.4986749584980285,D,True
13,D,Panic attack,3221,0.017,0.0172,0.017226789759130022,0.31899555036296995,D,True
13,D,Panic attack,3221,0.012,0.0123,0.012254095156359572,0.20555713592330557,D,True
13,D,Panic attack,3221,0.009,0.0088,0.008570249313826541,0.13245870069633822,D,True
13,D,Panic attack,3221,0.007,0.007,0.007055839567104872,0.10027842744062854,D,True
14,B,Viral pharyngitis,2997,natural,,0.036110379721289956,1.0,B,True
14,B,Viral pharyngitis,2997,0.034,0.0335,0.033439790236625154,0.8511790163866635,B,True
14,B,Viral pharyngitis,2997,0.024,0.024,0.023989536525013545,0.566869050671142,B,True
14,B,Viral pharyngitis,2997,0.017,0.0172,0.0170897298338547,0.3639487610864175,B,True
14,B,Viral pharyngitis,2997,0.012,0.0123,0.012342865900357176,0.22444140120559558,B,True
14,B,Viral pharyngitis,2997,0.009,0.0088,0.00881607710204099,0.13441329461752805,E,False
14,B,Viral pharyngitis,2997,0.007,0.007,0.006945373096381312,0.1111065503531848,E,False
15,B,Anaphylaxis,3149,natural,,0.048239503293474886,1.0,B,True
15,B,Anaphylaxis,3149,0.034,0.0335,0.033631704395801716,0.548490160967366,B,True
15,B,Anaphylaxis,3149,0.024,0.024,0.02399828922546451,0.34323637215882596,B,True
15,B,Anaphylaxis,3149,0.017,0.0172,0.017267111096279066,0.20555713592330557,B,True
15,B,Anaphylaxis,3149,0.012,0.0123,0.012211604022580504,0.11440977590183832,B,True
15,B,Anaphylaxis,3149,0.009,0.0088,0.008732518543043426,0.060054667895307945,A,False
15,B,Anaphylaxis,3149,0.007,0.007,0.007044224564923312,0.04613553161443577,A,False
16,E,Viral pharyngitis,3155,natural,,0.035530636856080565,1.0,B,False
16,E,Viral pharyngitis,3155,0.034,0.0335,0.03351164748944421,0.8449675698391766,B,False
16,E,Viral pharyngitis,3155,0.024,0.024,0.024019045841082987,0.5153846330054179,B,False
16,E,Viral pharyngitis,3155,0.017,0.0172,0.017176457945878142,0.30978554847668166,B,False
16,E,Viral pharyngitis,3155,0.012,0.0123,0.012365181678270994,0.17885293442087116,B,False
16,E,Viral pharyngitis,3155,0.009,0.0088,0.008851947929372146,0.11440977590183832,B,False
16,E,Viral pharyngitis,3155,0.007,0.007,0.006963564689878843,0.08789251557133614,B,False
17,B,Acute rhinosinusitis,2931,natural,,0.038040004043381793,1.0,B,True
17,B,Acute rhinosinusitis,2931,0.034,0.0335,0.03341975755610146,0.8116060356120278,B,True
17,B,Acute rhinosinusitis,2931,0.024,0.024,0.02379494339364002,0.5525221705240402,B,True
17,B,Acute rhinosinusitis,2931,0.017,0.0172,0.01713013048971243,0.37476904883902873,B,True
17,B,Acute rhinosinusitis,2931,0.012,0.0123,0.012379265339762186,0.2414969494853331,B,True
17,B,Acute rhinosinusitis,2931,0.009,0.0088,0.00874769029525574,0.15335496684492847,B,True
17,B,Acute rhinosinusitis,2931,0.007,0.007,0.007004034330852049,0.1213137638466268,B,True
18,E,URTI,2895,natural,,0.033315052746289306,1.0,E,True
18,E,URTI,2895,0.024,0.024,0.02407867309053947,0.6054949935129689,E,True
18,E,URTI,2895,0.017,0.0172,0.01725710196620687,0.391605626676799,E,True
18,E,URTI,2895,0.012,0.0123,0.012362732411135781,0.252346250408634,E,True
18,E,URTI,2895,0.009,0.0088,0.00886159443113192,0.15335496684492847,E,True
18,E,URTI,2895,0.007,0.007,0.006907046869387389,0.10789869514276741,E,True
19,A,Viral pharyngitis,2926,natural,,0.03731868343440508,1.0,D,False
19,A,Viral pharyngitis,2926,0.034,0.0335,0.033601360830426814,0.8056833713889101,D,False
19,A,Viral pharyngitis,2926,0.024,0.024,0.024066674231996106,0.504183770619497,D,False
19,A,Viral pharyngitis,2926,0.017,0.0172,0.017273035527287,0.30978554847668166,A,True
19,A,Viral pharyngitis,2926,0.012,0.0123,0.012360741501150145,0.18552413223220693,A,True
19,A,Viral pharyngitis,2926,0.009,0.0088,0.008825494544773329,0.10789869514276741,A,True
19,A,Viral pharyngitis,2926,0.007,0.007,0.0070479838191504956,0.07932676531921418,D,False
20,B,Influenza,3138,natural,,0.04075474727208415,1.0,D,False
20,B,Influenza,3138,0.034,0.0335,0.03363033748179794,0.711360338843118,D,False
20,B,Influenza,3138,0.024,0.024,0.024027415825771208,0.4533840931520487,D,False
20,B,Influenza,3138,0.017,0.0172,0.017065688244045755,0.2921555976422762,D,False
20,B,Influenza,3138,0.012,0.0123,0.012169511628104744,0.18282630132100924,D,False
20,B,Influenza,3138,0.009,0.0088,0.008817537167725159,0.1213137638466268,D,False
20,B,Influenza,3138,0.007,0.007,0.006846753514425082,0.08289053682876897,D,False
21,B,URTI,3104,natural,,0.03794362578796884,1.0,B,True
21,B,URTI,3104,0.034,0.0335,0.03359755651867191,0.791065110850296,B,True
21,B,URTI,3104,0.024,0.024,0.024039981578112046,0.509753438034524,B,True
21,B,URTI,3104,0.017,0.0172,0.017119115890320277,0.32847936791032617,B,True
21,B,URTI,3104,0.012,0.0123,0.012391969596232542,0.19962231455216262,B,True
21,B,URTI,3104,0.009,0.0088,0.008692961394725652,0.12492045240700124,E,False
21,B,URTI,3104,0.007,0.007,0.007029971411162384,0.09050558205614526,E,False
22,C,Anemia,3134,natural,,0.045037483980914915,1.0,C,True
22,C,Anemia,3134,0.034,0.0335,0.033418081166314936,0.5901705299683179,C,True
22,C,Anemia,3134,0.024,0.024,0.024014535649225836,0.3693192805940405,C,True
22,C,Anemia,3134,0.017,0.0172,0.017206170009580905,0.2432722192668642,C,True
22,C,Anemia,3134,0.012,0.0123,0.012294904601274156,0.14892732033918138,C,True
22,C,Anemia,3134,0.009,0.0088,0.008716885922497216,0.10175816115137408,C,True
22,C,Anemia,3134,0.007,0.007,0.006983001444902502,0.07703645231205218,C,True
23,B,Possible NSTEMI / STEMI,3042,natural,,0.038208126437610325,1.0,B,True
23,B,Possible NSTEMI / STEMI,3042,0.034,0.0335,0.03343954348431723,0.7682255723212538,B,True
23,B,Possible NSTEMI / STEMI,3042,0.024,0.024,0.023972345427879793,0.509753438034524,B,True
23,B,Possible NSTEMI / STEMI,3042,0.017,0.0172,0.017193125424708116,0.33824514172688175,B,True
23,B,Possible NSTEMI / STEMI,3042,0.012,0.0123,0.012250381216422152,0.21166840101912124,B,True
23,B,Possible NSTEMI / STEMI,3042,0.009,0.0088,0.009220935982494172,0.13441329461752805,B,True
23,B,Possible NSTEMI / STEMI,3042,0.007,0.007,0.006915606810616612,0.10175816115137408,B,True
24,C,Atrial fibrillation,3018,natural,,0.03879108730385943,1.0,B,False
24,C,Atrial fibrillation,3018,0.034,0.0335,0.03342814886170354,0.7298316365886987,B,False
24,C,Atrial fibrillation,3018,0.024,0.024,0.023941217088964954,0.4583925816383357,B,False
24,C,Atrial fibrillation,3018,0.017,0.0172,0.017134693791606526,0.2837205157036305,B,False
24,C,Atrial fibrillation,3018,0.012,0.0123,0.012236352783194196,0.14045183996771032,B,False
24,C,Atrial fibrillation,3018,0.009,0.0088,0.00873591265036581,0.07159580830181511,B,False
24,C,Atrial fibrillation,3018,0.007,0.007,0.007020282919024083,0.05832077661072152,B,False
25,E,Epiglottitis,3147,natural,,0.04129060552700151,1.0,D,False
25,E,Epiglottitis,3147,0.034,0.0335,0.03355013250103052,0.7035878743456275,D,False
25,E,Epiglottitis,3147,0.024,0.024,0.023957528703278243,0.4600743429263593,D,False
25,E,Epiglottitis,3147,0.017,0.0172,0.017359857649424944,0.28165007601492703,D,False
25,E,Epiglottitis,3147,0.012,0.0123,0.012245377894119036,0.15791424838939916,D,False
25,E,Epiglottitis,3147,0.009,0.0088,0.008826756158127195,0.10175816115137408,A,False
25,E,Epiglottitis,3147,0.007,0.007,0.007032844006095595,0.07159580830181511,E,True
26,D,Acute rhinosinusitis,3117,natural,,0.0361334492842305,1.0,D,True
26,D,Acute rhinosinusitis,3117,0.034,0.0335,0.033524685120812664,0.8388014510869826,D,True
26,D,Acute rhinosinusitis,3117,0.024,0.024,0.024077987903438243,0.548490160967366,D,True
26,D,Acute rhinosinusitis,3117,0.017,0.0172,0.017182900761312188,0.35344087540492714,D,True
26,D,Acute rhinosinusitis,3117,0.012,0.0123,0.01227244766873034,0.23111410023442172,D,True
26,D,Acute rhinosinusitis,3117,0.009,0.0088,0.008898270365384684,0.1446275083208538,D,True
26,D,Acute rhinosinusitis,3117,0.007,0.007,0.006999441967543247,0.1213137638466268,D,True
27,A,Unstable angina,3109,natural,,0.03628171430483019,1.0,C,False
27,A,Unstable angina,3109,0.034,0.0335,0.03349821883453063,0.8543018416161225,C,False
27,A,Unstable angina,3109,0.024,0.024,0.02398172869627258,0.5731311960714808,C,False
27,A,Unstable angina,3109,0.017,0.0172,0.017067710633841514,0.37476904883902873,C,False
27,A,Unstable angina,3109,0.012,0.0123,0.012291559714432214,0.23973463466761458,C,False
27,A,Unstable angina,3109,0.009,0.0088,0.008703033791726563,0.14892732033918138,C,False
27,A,Unstable angina,3109,0.007,0.007,0.0070049975535113026,0.1213137638466268,C,False
28,A,URTI,3024,natural,,0.03819035722502666,1.0,A,True
28,A,URTI,3024,0.034,0.0335,0.03353413257804824,0.7682255723212538,A,True
28,A,URTI,3024,0.024,0.024,0.02400350664669974,0.4986749584980285,A,True
28,A,URTI,3024,0.017,0.0172,0.017288622879143106,0.30978554847668166,A,True
28,A,URTI,3024,0.012,0.0123,0.012259348716700097,0.17242162389375282,A,True
28,A,URTI,3024,0.009,0.0088,0.00879608726659451,0.11440977590183832,A,True
28,A,URTI,3024,0.007,0.007,0.007072463816981548,0.08535489323371559,A,True
29,E,Anemia,3107,natural,,0.043363588104798956,1.0,E,True
29,E,Anemia,3107,0.034,0.0335,0.03340981114785961,0.6538974870114864,A,False
29,E,Anemia,3107,0.024,0.024,0.02394448739632963,0.427581923519937,A,False
29,E,Anemia,3107,0.017,0.0172,0.017117745463591707,0.2675739305347498,A,False
29,E,Anemia,3107,0.012,0.0123,0.012297869839737739,0.16744348711569607,A,False
29,E,Anemia,3107,0.009,0.0088,0.0088424461295552,0.10175816115137408,A,False
29,E,Anemia,3107,0.007,0.007,0.007078774853810766,0.0675212780775444,A,False
30,D,Viral pharyngitis,3009,natural,,0.03504036336896247,1.0,C,False
30,D,Viral pharyngitis,3009,0.034,0.0335,0.033541954212767976,0.8764847815685415,C,False
30,D,Viral pharyngitis,3009,0.024,0.024,0.023993808197405764,0.5545492766212659,C,False
30,D,Viral pharyngitis,3009,0.017,0.0172,0.017231309671611756,0.31899555036296995,C,False
30,D,Viral pharyngitis,3009,0.012,0.0123,0.012379309715280225,0.1882617730152492,B,False
30,D,Viral pharyngitis,3009,0.009,0.0088,0.008709929465907467,0.12676381003940596,B,False
30,D,Viral pharyngitis,3009,0.007,0.007,0.007038366814035488,0.10175816115137408,B,False
31,B,Pulmonary neoplasm,2944,natural,,0.042761552614344105,1.0,D,False
31,B,Pulmonary neoplasm,2944,0.034,0.0335,0.033504721844727546,0.6443887248251953,D,False
31,B,Pulmonary neoplasm,2944,0.024,0.024,0.02402246932768051,0.3859110264545202,C,False
31,B,Pulmonary neoplasm,2944,0.017,0.0172,0.016961916866058916,0.22775331500328175,C,False
31,B,Pulmonary neoplasm,2944,0.012,0.0123,0.012208928308187247,0.1446275083208538,C,False
31,B,Pulmonary neoplasm,2944,0.009,0.0088,0.008784107811306103,0.0931963356615203,B,True
31,B,Pulmonary neoplasm,2944,0.007,0.007,0.007051758394893149,0.07159580830181511,C,False
32,B,Pancreatic neoplasm,3170,natural,,0.04077034381649023,1.0,B,True
32,B,Pancreatic neoplasm,3170,0.034,0.0335,0.03350725541501136,0.7298316365886987,B,True
32,B,Pancreatic neoplasm,3170,0.024,0.024,0.024095361138625964,0.48074327892797597,B,True
32,B,Pancreatic neoplasm,3170,0.017,0.0172,0.017159253722099234,0.30084145667800716,B,True
32,B,Pancreatic neoplasm,3170,0.012,0.0123,0.012301309269278351,0.18282630132100924,B,True
32,B,Pancreatic neoplasm,3170,0.009,0.0088,0.008761081930272842,0.1213137638466268,B,True
32,B,Pancreatic neoplasm,3170,0.007,0.007,0.0069031782930688845,0.09050558205614526,B,True
33,A,SLE,3294,natural,,0.04665270973724776,1.0,A,True
33,A,SLE,3294,0.034,0.0335,0.03353765453465137,0.6077164475263447,A,True
33,A,SLE,3294,0.024,0.024,0.023912726619070367,0.3973842578530246,A,True
33,A,SLE,3294,0.017,0.0172,0.017074081105467823,0.23281304458591898,A,True
33,A,SLE,3294,0.012,0.0123,0.012435383836894714,0.1213137638466268,A,True
33,A,SLE,3294,0.009,0.0088,0.008726644382059778,0.08049733103113403,A,True
33,A,SLE,3294,0.007,0.007,0.006967435202010289,0.060054667895307945,A,True
34,C,Chronic rhinosinusitis,3045,natural,,0.03452167513331537,1.0,E,False
34,C,Chronic rhinosinusitis,3045,0.034,0.0335,0.03352594496382332,0.9100103404478916,E,False
34,C,Chronic rhinosinusitis,3045,0.024,0.024,0.0238562692509527,0.5988792348270946,C,True
34,C,Chronic rhinosinusitis,3045,0.017,0.0172,0.017152795636175108,0.38309485539442545,C,True
34,C,Chronic rhinosinusitis,3045,0.012,0.0123,0.012341838531650506,0.2414969494853331,C,True
34,C,Chronic rhinosinusitis,3045,0.009,0.0088,0.008850858529381724,0.15335496684492847,C,True
34,C,Chronic rhinosinusitis,3045,0.007,0.007,0.006900184144641935,0.1213137638466268,E,False
35,E,Acute dystonic reactions,2993,natural,,0.034622842846671734,1.0,E,True
35,E,Acute dystonic reactions,2993,0.034,0.0335,0.03344222543507138,0.9041970128076517,A,False
35,E,Acute dystonic reactions,2993,0.024,0.024,0.024036008350537343,0.5731311960714808,A,False
35,E,Acute dystonic reactions,2993,0.017,0.0172,0.017331854653366757,0.34830125444308524,A,False
35,E,Acute dystonic reactions,2993,0.012,0.0123,0.012323262318780928,0.20256799166137712,A,False
35,E,Acute dystonic reactions,2993,0.009,0.0088,0.008572478790112168,0.13245870069633822,A,False
35,E,Acute dystonic reactions,2993,0.007,0.007,0.007095041868617082,0.09596708604499847,A,False
36,B,Pericarditis,3138,natural,,0.03810866400762257,1.0,B,True
36,B,Pericarditis,3138,0.034,0.0335,0.033482736712007535,0.8027382667004205,C,False
36,B,Pericarditis,3138,0.024,0.024,0.024104109673903324,0.513500689817633,B,True
36,B,Pericarditis,3138,0.017,0.0172,0.017297013374445093,0.32370272898051844,C,False
36,B,Pericarditis,3138,0.012,0.0123,0.012324337954114663,0.20555713592330557,C,False
36,B,Pericarditis,3138,0.009,0.0088,0.008869570564427413,0.13441329461752805,C,False
36,B,Pericarditis,3138,0.007,0.007,0.006952870222613708,0.09596708604499847,C,False
37,C,Unstable angina,3175,natural,,0.03414272252019917,1.0,A,False
37,C,Unstable angina,3175,0.034,0.0335,0.03344523178979806,0.9158610435469906,A,False
37,C,Unstable angina,3175,0.024,0.024,0.02395194750816385,0.5901705299683179,A,False
37,C,Unstable angina,3175,0.017,0.0172,0.017101230348617,0.3802992352356941,A,False
37,C,Unstable angina,3175,0.012,0.0123,0.012354325433992817,0.23281304458591898,A,False
37,C,Unstable angina,3175,0.009,0.0088,0.008756854231130923,0.13441329461752805,A,False
37,C,Unstable angina,3175,0.007,0.007,0.006962511934247619,0.10789869514276741,A,False
38,D,Bronchiectasis,2981,natural,,0.037696685941689075,1.0,C,False
38,D,Bronchiectasis,2981,0.034,0.0335,0.03354230653404818,0.7626194753815728,C,False
38,D,Bronchiectasis,2981,0.024,0.024,0.023938510083169585,0.4600743429263593,C,False
38,D,Bronchiectasis,2981,0.017,0.0172,0.0173207586698972,0.2755289704553164,C,False
38,D,Bronchiectasis,2981,0.012,0.0123,0.012222456220114508,0.15335496684492847,C,False
38,D,Bronchiectasis,2981,0.009,0.0088,0.008797911858639176,0.09882021153081356,A,False
38,D,Bronchiectasis,2981,0.007,0.007,0.0069195043714011875,0.07159580830181511,A,False
39,E,Possible NSTEMI / STEMI,3106,natural,,0.034742327147861594,1.0,E,True
39,E,Possible NSTEMI / STEMI,3106,0.034,0.0335,0.03356582224690831,0.8975986694447079,E,True
39,E,Possible NSTEMI / STEMI,3106,0.024,0.024,0.024010762851043647,0.5858637829383431,E,True
39,E,Possible NSTEMI / STEMI,3106,0.017,0.0172,0.017154401567813428,0.3693192805940405,E,True
39,E,Possible NSTEMI / STEMI,3106,0.012,0.0123,0.012252171157515934,0.23111410023442172,E,True
39,E,Possible NSTEMI / STEMI,3106,0.009,0.0088,0.008840535970164853,0.1363967310184996,E,True
39,E,Possible NSTEMI / STEMI,3106,0.007,0.007,0.00692420280677388,0.11274606657056462,E,True
40,A,Guillain-Barré syndrome,3010,natural,,0.03604223339047076,1.0,A,True
40,A,Guillain-Barré syndrome,3010,0.034,0.0335,0.0334939535954737,0.8543018416161225,A,True
40,A,Guillain-Barré syndrome,3010,0.024,0.024,0.02406385077128655,0.556583819812148,A,True
40,A,Guillain-Barré syndrome,3010,0.017,0.0172,0.01712019178623265,0.35344087540492714,A,True
40,A,Guillain-Barré syndrome,3010,0.012,0.0123,0.0123866360863115,0.22775331500328175,A,True
40,A,Guillain-Barré syndrome,3010,0.009,0.0088,0.00877595474332921,0.14045183996771032,A,True
40,A,Guillain-Barré syndrome,3010,0.007,0.007,0.006913019021854169,0.09596708604499847,A,True
41,C,URTI,3022,natural,,0.03654258041494699,1.0,C,True
41,C,URTI,3022,0.034,0.0335,0.03352053205631008,0.8250917042258528,C,True
41,C,URTI,3022,0.024,0.024,0.023939657300237616,0.5405141974474641,C,True
41,C,URTI,3022,0.017,0.0172,0.017179075077407523,0.34830125444308524,C,True
41,C,URTI,3022,0.012,0.0123,0.012235373163382373,0.20555713592330557,C,True
41,C,URTI,3022,0.009,0.0088,0.008854277390157036,0.1286343687209221,C,True
41,C,URTI,3022,0.007,0.007,0.006954681531010414,0.09050558205614526,C,True
42,C,Viral pharyngitis,3032,natural,,0.03499455559916201,1.0,C,True
42,C,Viral pharyngitis,3032,0.034,0.0335,0.03340107276398814,0.8764847815685415,C,True
42,C,Viral pharyngitis,3032,0.024,0.024,0.024051572197487724,0.5731311960714808,C,True
42,C,Viral pharyngitis,3032,0.017,0.0172,0.017214911144315833,0.3693192805940405,C,True
42,C,Viral pharyngitis,3032,0.012,0.0123,0.012264766749064024,0.21796135555570278,C,True
42,C,Viral pharyngitis,3032,0.009,0.0088,0.0087464833046916,0.1363967310184996,C,True
42,C,Viral pharyngitis,3032,0.007,0.007,0.006994645129721617,0.1111065503531848,A,False
43,B,Chronic rhinosinusitis,3122,natural,,0.04006670458523064,1.0,B,True
43,B,Chronic rhinosinusitis,3122,0.034,0.0335,0.03341123977937703,0.7245057179369678,B,True
43,B,Chronic rhinosinusitis,3122,0.024,0.024,0.024039373335557584,0.44679113078950283,B,True
43,B,Chronic rhinosinusitis,3122,0.017,0.0172,0.017247208275140136,0.27959474528122435,B,True
43,B,Chronic rhinosinusitis,3122,0.012,0.0123,0.012237054477742607,0.15791424838939916,B,True
43,B,Chronic rhinosinusitis,3122,0.009,0.0088,0.008831652025386353,0.10789869514276741,B,True
43,B,Chronic rhinosinusitis,3122,0.007,0.007,0.006982703053244955,0.07159580830181511,B,True
44,E,Bronchospasm / acute asthma exacerbation,3001,natural,,0.03137701466003153,1.0,E,True
