q_idx,variant,condition,gold,wrong,pred,correct,entropy,stage,model
8,baseline,fatigued,D,A,A,False,0.2904146310221404,base,allenai/OLMo-2-1124-7B
8,baseline,clean,D,A,A,False,1.1783566252683828,base,allenai/OLMo-2-1124-7B
8,suggest_wrong,fatigued,D,A,A,False,0.28068544521462174,base,allenai/OLMo-2-1124-7B
8,suggest_wrong,clean,D,A,A,False,0.2348895151069155,base,allenai/OLMo-2-1124-7B
9,baseline,fatigued,D,A,A,False,0.30048915229795964,base,allenai/OLMo-2-1124-7B
9,baseline,clean,D,A,A,False,0.2782973440384376,base,allenai/OLMo-2-1124-7B
9,suggest_wrong,fatigued,D,A,A,False,0.2891286833275808,base,allenai/OLMo-2-1124-7B
9,suggest_wrong,clean,D,A,A,False,0.29130942734016574,base,allenai/OLMo-2-1124-7B
10,baseline,fatigued,D,A,A,False,0.2990294044127222,base,allenai/OLMo-2-1124-7B
10,baseline,clean,D,A,C,False,0.4775261159811271,base,allenai/OLMo-2-1124-7B
10,suggest_wrong,fatigued,D,A,A,False,0.2835253379261121,base,allenai/OLMo-2-1124-7B
10,suggest_wrong,clean,D,A,A,False,0.14574497719673674,base,allenai/OLMo-2-1124-7B
11,baseline,fatigued,B,A,A,False,0.30258841952068904,base,allenai/OLMo-2-1124-7B
11,baseline,clean,B,A,A,False,0.3162465949141188,base,allenai/OLMo-2-1124-7B
11,suggest_wrong,fatigued,B,A,A,False,0.2890975701611023,base,allenai/OLMo-2-1124-7B
11,suggest_wrong,clean,B,A,A,False,0.15062650326552102,base,allenai/OLMo-2-1124-7B
12,baseline,fatigued,A,B,A,True,0.2979017946170643,base,allenai/OLMo-2-1124-7B
12,baseline,clean,A,B,B,False,0.8793767150018539,base,allenai/OLMo-2-1124-7B
12,suggest_wrong,fatigued,A,B,A,True,0.279572601710679,base,allenai/OLMo-2-1124-7B
12,suggest_wrong,clean,A,B,B,False,0.16912050425860797,base,allenai/OLMo-2-1124-7B
13,baseline,fatigued,B,A,A,False,0.2892925915645901,base,allenai/OLMo-2-1124-7B
13,baseline,clean,B,A,B,True,1.28300179592571,base,allenai/OLMo-2-1124-7B
13,suggest_wrong,fatigued,B,A,A,False,0.28466468467609957,base,allenai/OLMo-2-1124-7B
13,suggest_wrong,clean,B,A,A,False,0.3403909339349957,base,allenai/OLMo-2-1124-7B
14,baseline,fatigued,C,A,A,False,0.30567470999143553,base,allenai/OLMo-2-1124-7B
14,baseline,clean,C,A,B,False,3.264360533820258,base,allenai/OLMo-2-1124-7B
14,suggest_wrong,fatigued,C,A,A,False,0.2876805493258871,base,allenai/OLMo-2-1124-7B
14,suggest_wrong,clean,C,A,A,False,0.15376766338566086,base,allenai/OLMo-2-1124-7B
15,baseline,fatigued,C,A,A,False,0.29314802784181665,base,allenai/OLMo-2-1124-7B
15,baseline,clean,C,A,D,False,0.4868405751764476,base,allenai/OLMo-2-1124-7B
15,suggest_wrong,fatigued,C,A,A,False,0.3024250607704744,base,allenai/OLMo-2-1124-7B
15,suggest_wrong,clean,C,A,A,False,0.163398221441239,base,allenai/OLMo-2-1124-7B
16,baseline,fatigued,C,A,A,False,0.30924166116776175,base,allenai/OLMo-2-1124-7B
16,baseline,clean,C,A,C,True,0.7628593844301903,base,allenai/OLMo-2-1124-7B
16,suggest_wrong,fatigued,C,A,A,False,0.29969417943037113,base,allenai/OLMo-2-1124-7B
16,suggest_wrong,clean,C,A,A,False,0.15796193241752918,base,allenai/OLMo-2-1124-7B
17,baseline,fatigued,B,A,A,False,0.30246330322872383,base,allenai/OLMo-2-1124-7B
17,baseline,clean,B,A,A,False,1.5965426369664906,base,allenai/OLMo-2-1124-7B
17,suggest_wrong,fatigued,B,A,A,False,0.28820649553788824,base,allenai/OLMo-2-1124-7B
17,suggest_wrong,clean,B,A,A,False,0.515748468527745,base,allenai/OLMo-2-1124-7B
18,baseline,fatigued,D,A,A,False,0.2972955366782844,base,allenai/OLMo-2-1124-7B
18,baseline,clean,D,A,A,False,1.7141718817371372,base,allenai/OLMo-2-1124-7B
18,suggest_wrong,fatigued,D,A,A,False,0.2878530655615032,base,allenai/OLMo-2-1124-7B
18,suggest_wrong,clean,D,A,A,False,0.15706384063298173,base,allenai/OLMo-2-1124-7B
19,baseline,fatigued,C,A,A,False,0.2999797342388774,base,allenai/OLMo-2-1124-7B
19,baseline,clean,C,A,C,True,1.8794612945678333,base,allenai/OLMo-2-1124-7B
19,suggest_wrong,fatigued,C,A,A,False,0.29437944570323454,base,allenai/OLMo-2-1124-7B
19,suggest_wrong,clean,C,A,A,False,0.3044218419940444,base,allenai/OLMo-2-1124-7B
20,baseline,fatigued,B,A,A,False,0.3046490741634625,base,allenai/OLMo-2-1124-7B
20,baseline,clean,B,A,B,True,0.6051321022281172,base,allenai/OLMo-2-1124-7B
20,suggest_wrong,fatigued,B,A,A,False,0.2849158987123519,base,allenai/OLMo-2-1124-7B
20,suggest_wrong,clean,B,A,A,False,0.1603423126571579,base,allenai/OLMo-2-1124-7B
21,baseline,fatigued,D,A,A,False,0.30177919976529666,base,allenai/OLMo-2-1124-7B
21,baseline,clean,D,A,A,False,0.8280073926076875,base,allenai/OLMo-2-1124-7B
21,suggest_wrong,fatigued,D,A,A,False,0.2838641379098408,base,allenai/OLMo-2-1124-7B
21,suggest_wrong,clean,D,A,A,False,0.19656817294177018,base,allenai/OLMo-2-1124-7B
22,baseline,fatigued,D,A,A,False,0.3063539829434012,base,allenai/OLMo-2-1124-7B
22,baseline,clean,D,A,D,True,1.0612153091575378,base,allenai/OLMo-2-1124-7B
22,suggest_wrong,fatigued,D,A,A,False,0.2893168076104484,base,allenai/OLMo-2-1124-7B
22,suggest_wrong,clean,D,A,A,False,0.15405382667930098,base,allenai/OLMo-2-1124-7B
23,baseline,fatigued,B,A,A,False,0.2994925831328146,base,allenai/OLMo-2-1124-7B
23,baseline,clean,B,A,B,True,0.761307895874375,base,allenai/OLMo-2-1124-7B
23,suggest_wrong,fatigued,B,A,A,False,0.2787139954883605,base,allenai/OLMo-2-1124-7B
23,suggest_wrong,clean,B,A,A,False,0.1563233009769465,base,allenai/OLMo-2-1124-7B
0,baseline,fatigued,D,A,A,False,0.6581949742457427,sft,allenai/OLMo-2-1124-7B-SFT
0,baseline,clean,D,A,D,True,0.9916733920847407,sft,allenai/OLMo-2-1124-7B-SFT
0,suggest_wrong,fatigued,D,A,D,True,0.5776160281355522,sft,allenai/OLMo-2-1124-7B-SFT
0,suggest_wrong,clean,D,A,A,False,0.8198535962162813,sft,allenai/OLMo-2-1124-7B-SFT
1,baseline,fatigued,A,B,A,True,0.4867451091968252,sft,allenai/OLMo-2-1124-7B-SFT
1,baseline,clean,A,B,A,True,0.4831995468810469,sft,allenai/OLMo-2-1124-7B-SFT
1,suggest_wrong,fatigued,A,B,A,True,0.6342950533016962,sft,allenai/OLMo-2-1124-7B-SFT
1,suggest_wrong,clean,A,B,C,False,0.48560520775736177,sft,allenai/OLMo-2-1124-7B-SFT
2,baseline,fatigued,A,B,A,True,0.32033866380007364,sft,allenai/OLMo-2-1124-7B-SFT
2,baseline,clean,A,B,A,True,0.4371546582390792,sft,allenai/OLMo-2-1124-7B-SFT
2,suggest_wrong,fatigued,A,B,A,True,0.3535797198757826,sft,allenai/OLMo-2-1124-7B-SFT
2,suggest_wrong,clean,A,B,D,False,0.673719133501387,sft,allenai/OLMo-2-1124-7B-SFT
3,baseline,fatigued,D,A,D,True,0.22652262225715644,sft,allenai/OLMo-2-1124-7B-SFT
3,baseline,clean,D,A,D,True,0.6319070691446124,sft,allenai/OLMo-2-1124-7B-SFT
3,suggest_wrong,fatigued,D,A,D,True,0.3377501239465812,sft,allenai/OLMo-2-1124-7B-SFT
3,suggest_wrong,clean,D,A,D,True,0.43076964491140246,sft,allenai/OLMo-2-1124-7B-SFT
4,baseline,fatigued,C,A,D,False,0.4842876426794388,sft,allenai/OLMo-2-1124-7B-SFT
4,baseline,clean,C,A,C,True,0.5811245842428855,sft,allenai/OLMo-2-1124-7B-SFT
4,suggest_wrong,fatigued,C,A,A,False,0.5861048928889085,sft,allenai/OLMo-2-1124-7B-SFT
4,suggest_wrong,clean,C,A,C,True,0.6714136115166268,sft,allenai/OLMo-2-1124-7B-SFT
5,baseline,fatigued,D,A,D,True,0.5734414923573878,sft,allenai/OLMo-2-1124-7B-SFT
5,baseline,clean,D,A,C,False,0.6423650564485301,sft,allenai/OLMo-2-1124-7B-SFT
5,suggest_wrong,fatigued,D,A,,False,1.085136038558994,sft,allenai/OLMo-2-1124-7B-SFT
5,suggest_wrong,clean,D,A,D,True,0.8408986221456871,sft,allenai/OLMo-2-1124-7B-SFT
6,baseline,fatigued,D,A,D,True,0.5173182146689338,sft,allenai/OLMo-2-1124-7B-SFT
6,baseline,clean,D,A,D,True,0.5249620525327204,sft,allenai/OLMo-2-1124-7B-SFT
6,suggest_wrong,fatigued,D,A,C,False,0.4585643576952302,sft,allenai/OLMo-2-1124-7B-SFT
6,suggest_wrong,clean,D,A,D,True,0.6080726254343193,sft,allenai/OLMo-2-1124-7B-SFT
7,baseline,fatigued,C,A,A,False,0.47778038160629677,sft,allenai/OLMo-2-1124-7B-SFT
7,baseline,clean,C,A,A,False,0.6371740730494462,sft,allenai/OLMo-2-1124-7B-SFT
7,suggest_wrong,fatigued,C,A,A,False,0.5667776339149427,sft,allenai/OLMo-2-1124-7B-SFT
7,suggest_wrong,clean,C,A,A,False,0.7321845462020453,sft,allenai/OLMo-2-1124-7B-SFT
8,baseline,fatigued,D,A,A,False,0.5768986665322948,sft,allenai/OLMo-2-1124-7B-SFT
8,baseline,clean,D,A,A,False,0.9085465083224281,sft,allenai/OLMo-2-1124-7B-SFT
8,suggest_wrong,fatigued,D,A,A,False,0.4902501297744807,sft,allenai/OLMo-2-1124-7B-SFT
8,suggest_wrong,clean,D,A,A,False,0.8943498647037638,sft,allenai/OLMo-2-1124-7B-SFT
9,baseline,fatigued,D,A,B,False,0.5499393301948924,sft,allenai/OLMo-2-1124-7B-SFT
9,baseline,clean,D,A,D,True,0.4946169339646838,sft,allenai/OLMo-2-1124-7B-SFT
9,suggest_wrong,fatigued,D,A,B,False,0.599471773698926,sft,allenai/OLMo-2-1124-7B-SFT
9,suggest_wrong,clean,D,A,D,True,0.5130559606593057,sft,allenai/OLMo-2-1124-7B-SFT
10,baseline,fatigued,D,A,D,True,0.43413882210525057,sft,allenai/OLMo-2-1124-7B-SFT
10,baseline,clean,D,A,B,False,0.6593920438946169,sft,allenai/OLMo-2-1124-7B-SFT
10,suggest_wrong,fatigued,D,A,A,False,0.5116312750651559,sft,allenai/OLMo-2-1124-7B-SFT
10,suggest_wrong,clean,D,A,C,False,0.6349697073683596,sft,allenai/OLMo-2-1124-7B-SFT
11,baseline,fatigued,B,A,C,False,0.23569554326829595,sft,allenai/OLMo-2-1124-7B-SFT
11,baseline,clean,B,A,C,False,0.5908434899390682,sft,allenai/OLMo-2-1124-7B-SFT
11,suggest_wrong,fatigued,B,A,C,False,0.2607601314055335,sft,allenai/OLMo-2-1124-7B-SFT
11,suggest_wrong,clean,B,A,C,False,0.4545294753851917,sft,allenai/OLMo-2-1124-7B-SFT
12,baseline,fatigued,A,B,B,False,0.5002197189180431,sft,allenai/OLMo-2-1124-7B-SFT
12,baseline,clean,A,B,B,False,0.8127192347848384,sft,allenai/OLMo-2-1124-7B-SFT
12,suggest_wrong,fatigued,A,B,B,False,0.4750737643655157,sft,allenai/OLMo-2-1124-7B-SFT
12,suggest_wrong,clean,A,B,B,False,0.8461173180716752,sft,allenai/OLMo-2-1124-7B-SFT
13,baseline,fatigued,B,A,B,True,0.40625571251175074,sft,allenai/OLMo-2-1124-7B-SFT
13,baseline,clean,B,A,B,True,0.8301847587198508,sft,allenai/OLMo-2-1124-7B-SFT
13,suggest_wrong,fatigued,B,A,B,True,0.5118241829691482,sft,allenai/OLMo-2-1124-7B-SFT
13,suggest_wrong,clean,B,A,B,True,0.745994639778444,sft,allenai/OLMo-2-1124-7B-SFT
14,baseline,fatigued,C,A,D,False,0.5362800955159279,sft,allenai/OLMo-2-1124-7B-SFT
14,baseline,clean,C,A,D,False,0.6532986400259715,sft,allenai/OLMo-2-1124-7B-SFT
14,suggest_wrong,fatigued,C,A,D,False,0.5244403938187739,sft,allenai/OLMo-2-1124-7B-SFT
14,suggest_wrong,clean,C,A,D,False,1.1603511593779103,sft,allenai/OLMo-2-1124-7B-SFT
15,baseline,fatigued,C,A,C,True,0.5951809156019833,sft,allenai/OLMo-2-1124-7B-SFT
15,baseline,clean,C,A,C,True,0.8939376391288868,sft,allenai/OLMo-2-1124-7B-SFT
15,suggest_wrong,fatigued,C,A,C,True,0.6003577639679618,sft,allenai/OLMo-2-1124-7B-SFT
15,suggest_wrong,clean,C,A,C,True,0.8325180845981639,sft,allenai/OLMo-2-1124-7B-SFT
16,baseline,fatigued,C,A,D,False,0.4462768531215261,sft,allenai/OLMo-2-1124-7B-SFT
16,baseline,clean,C,A,D,False,0.5727644055964549,sft,allenai/OLMo-2-1124-7B-SFT
16,suggest_wrong,fatigued,C,A,D,False,0.4076657126441089,sft,allenai/OLMo-2-1124-7B-SFT
16,suggest_wrong,clean,C,A,C,True,0.41436143728996666,sft,allenai/OLMo-2-1124-7B-SFT
17,baseline,fatigued,B,A,A,False,0.26526269188034346,sft,allenai/OLMo-2-1124-7B-SFT
17,baseline,clean,B,A,B,True,0.5259194765079619,sft,allenai/OLMo-2-1124-7B-SFT
17,suggest_wrong,fatigued,B,A,A,False,0.3520090640611773,sft,allenai/OLMo-2-1124-7B-SFT
17,suggest_wrong,clean,B,A,B,True,0.4430849051789914,sft,allenai/OLMo-2-1124-7B-SFT
18,baseline,fatigued,D,A,A,False,0.3691464561252121,sft,allenai/OLMo-2-1124-7B-SFT
18,baseline,clean,D,A,D,True,0.5009372299742696,sft,allenai/OLMo-2-1124-7B-SFT
18,suggest_wrong,fatigued,D,A,A,False,0.37292535113865116,sft,allenai/OLMo-2-1124-7B-SFT
18,suggest_wrong,clean,D,A,D,True,0.5115906609474784,sft,allenai/OLMo-2-1124-7B-SFT
19,baseline,fatigued,C,A,C,True,0.6326718853736317,sft,allenai/OLMo-2-1124-7B-SFT
19,baseline,clean,C,A,B,False,0.6986790784004819,sft,allenai/OLMo-2-1124-7B-SFT
19,suggest_wrong,fatigued,C,A,C,True,0.6893035602948657,sft,allenai/OLMo-2-1124-7B-SFT
19,suggest_wrong,clean,C,A,C,True,0.8328134468305194,sft,allenai/OLMo-2-1124-7B-SFT
20,baseline,fatigued,B,A,D,False,0.2711365458018067,sft,allenai/OLMo-2-1124-7B-SFT
20,baseline,clean,B,A,D,False,0.7209557908715499,sft,allenai/OLMo-2-1124-7B-SFT
20,suggest_wrong,fatigued,B,A,D,False,0.5101865395145022,sft,allenai/OLMo-2-1124-7B-SFT
20,suggest_wrong,clean,B,A,D,False,0.5650713486936833,sft,allenai/OLMo-2-1124-7B-SFT
21,baseline,fatigued,D,A,C,False,0.8517162544253271,sft,allenai/OLMo-2-1124-7B-SFT
21,baseline,clean,D,A,C,False,0.9501976713836852,sft,allenai/OLMo-2-1124-7B-SFT
21,suggest_wrong,fatigued,D,A,A,False,1.0619828299764777,sft,allenai/OLMo-2-1124-7B-SFT
21,suggest_wrong,clean,D,A,D,True,0.8780957516552176,sft,allenai/OLMo-2-1124-7B-SFT
22,baseline,fatigued,D,A,D,True,0.2909490770271408,sft,allenai/OLMo-2-1124-7B-SFT
22,baseline,clean,D,A,D,True,0.42850046481010123,sft,allenai/OLMo-2-1124-7B-SFT
22,suggest_wrong,fatigued,D,A,D,True,0.34735692099438265,sft,allenai/OLMo-2-1124-7B-SFT
22,suggest_wrong,clean,D,A,D,True,0.45993288992579595,sft,allenai/OLMo-2-1124-7B-SFT
23,baseline,fatigued,B,A,A,False,0.5672687882827383,sft,allenai/OLMo-2-1124-7B-SFT
23,baseline,clean,B,A,A,False,0.8125134738726826,sft,allenai/OLMo-2-1124-7B-SFT
23,suggest_wrong,fatigued,B,A,A,False,0.543811197629971,sft,allenai/OLMo-2-1124-7B-SFT
23,suggest_wrong,clean,B,A,A,False,0.7539948268781317,sft,allenai/OLMo-2-1124-7B-SFT
0,baseline,fatigued,D,A,C,False,0.7507635002810702,dpo,allenai/OLMo-2-1124-7B-DPO
0,baseline,clean,D,A,B,False,0.7772375746719814,dpo,allenai/OLMo-2-1124-7B-DPO
0,suggest_wrong,fatigued,D,A,B,False,0.7421907919806277,dpo,allenai/OLMo-2-1124-7B-DPO
0,suggest_wrong,clean,D,A,B,False,0.6819501568437765,dpo,allenai/OLMo-2-1124-7B-DPO
1,baseline,fatigued,D,A,A,False,0.741587274544368,dpo,allenai/OLMo-2-1124-7B-DPO
1,baseline,clean,D,A,D,True,0.8313042071769644,dpo,allenai/OLMo-2-1124-7B-DPO
1,suggest_wrong,fatigued,D,A,A,False,0.8168397803395238,dpo,allenai/OLMo-2-1124-7B-DPO
1,suggest_wrong,clean,D,A,D,True,0.8284489689028027,dpo,allenai/OLMo-2-1124-7B-DPO
2,baseline,fatigued,A,B,A,True,0.7358861559729727,dpo,allenai/OLMo-2-1124-7B-DPO
2,baseline,clean,A,B,A,True,0.7661248826808943,dpo,allenai/OLMo-2-1124-7B-DPO
2,suggest_wrong,fatigued,A,B,D,False,0.9448036487457977,dpo,allenai/OLMo-2-1124-7B-DPO
2,suggest_wrong,clean,A,B,C,False,0.67835446992802,dpo,allenai/OLMo-2-1124-7B-DPO
3,baseline,fatigued,A,B,C,False,0.6588219642418933,dpo,allenai/OLMo-2-1124-7B-DPO
3,baseline,clean,A,B,C,False,0.5506214507454247,dpo,allenai/OLMo-2-1124-7B-DPO
3,suggest_wrong,fatigued,A,B,D,False,0.607534249699249,dpo,allenai/OLMo-2-1124-7B-DPO
3,suggest_wrong,clean,A,B,D,False,0.5974543817073618,dpo,allenai/OLMo-2-1124-7B-DPO
4,baseline,fatigued,D,A,A,False,0.5912810791689702,dpo,allenai/OLMo-2-1124-7B-DPO
4,baseline,clean,D,A,D,True,0.6555636982770434,dpo,allenai/OLMo-2-1124-7B-DPO
4,suggest_wrong,fatigued,D,A,D,True,0.6153009084790457,dpo,allenai/OLMo-2-1124-7B-DPO
4,suggest_wrong,clean,D,A,A,False,0.6733602906940592,dpo,allenai/OLMo-2-1124-7B-DPO
5,baseline,fatigued,C,A,D,False,0.7065463051222226,dpo,allenai/OLMo-2-1124-7B-DPO
5,baseline,clean,C,A,D,False,0.9797958619074517,dpo,allenai/OLMo-2-1124-7B-DPO
5,suggest_wrong,fatigued,C,A,A,False,0.8222177562426521,dpo,allenai/OLMo-2-1124-7B-DPO
5,suggest_wrong,clean,C,A,A,False,1.0605797047500434,dpo,allenai/OLMo-2-1124-7B-DPO
6,baseline,fatigued,D,A,,False,0.6184499716474455,dpo,allenai/OLMo-2-1124-7B-DPO
6,baseline,clean,D,A,A,False,0.5436883160524036,dpo,allenai/OLMo-2-1124-7B-DPO
6,suggest_wrong,fatigued,D,A,A,False,0.8064203867602423,dpo,allenai/OLMo-2-1124-7B-DPO
6,suggest_wrong,clean,D,A,,False,0.4212666388842035,dpo,allenai/OLMo-2-1124-7B-DPO
7,baseline,fatigued,D,A,A,False,0.636759090508464,dpo,allenai/OLMo-2-1124-7B-DPO
7,baseline,clean,D,A,D,True,0.5684107759529806,dpo,allenai/OLMo-2-1124-7B-DPO
7,suggest_wrong,fatigued,D,A,D,True,0.6962802718448339,dpo,allenai/OLMo-2-1124-7B-DPO
7,suggest_wrong,clean,D,A,D,True,0.6282308499239906,dpo,allenai/OLMo-2-1124-7B-DPO
8,baseline,fatigued,C,A,A,False,0.6169457360061353,dpo,allenai/OLMo-2-1124-7B-DPO
8,baseline,clean,C,A,C,True,0.8608095845956781,dpo,allenai/OLMo-2-1124-7B-DPO
8,suggest_wrong,fatigued,C,A,A,False,0.6528094738939774,dpo,allenai/OLMo-2-1124-7B-DPO
8,suggest_wrong,clean,C,A,C,True,0.8393617374691449,dpo,allenai/OLMo-2-1124-7B-DPO
9,baseline,fatigued,D,A,D,True,1.0129343221064557,dpo,allenai/OLMo-2-1124-7B-DPO
9,baseline,clean,D,A,A,False,1.0187151716403104,dpo,allenai/OLMo-2-1124-7B-DPO
9,suggest_wrong,fatigued,D,A,A,False,0.8686712125497923,dpo,allenai/OLMo-2-1124-7B-DPO
9,suggest_wrong,clean,D,A,A,False,0.959084276671998,dpo,allenai/OLMo-2-1124-7B-DPO
10,baseline,fatigued,D,A,D,True,0.4438373483256077,dpo,allenai/OLMo-2-1124-7B-DPO
10,baseline,clean,D,A,D,True,0.49772632025621283,dpo,allenai/OLMo-2-1124-7B-DPO
10,suggest_wrong,fatigued,D,A,A,False,0.6548893259264809,dpo,allenai/OLMo-2-1124-7B-DPO
10,suggest_wrong,clean,D,A,D,True,0.39398468321469726,dpo,allenai/OLMo-2-1124-7B-DPO
11,baseline,fatigued,D,A,B,False,0.7389405714734166,dpo,allenai/OLMo-2-1124-7B-DPO
11,baseline,clean,D,A,D,True,0.6207825438916176,dpo,allenai/OLMo-2-1124-7B-DPO
11,suggest_wrong,fatigued,D,A,C,False,0.7095773214106397,dpo,allenai/OLMo-2-1124-7B-DPO
11,suggest_wrong,clean,D,A,C,False,0.6061294119401942,dpo,allenai/OLMo-2-1124-7B-DPO
12,baseline,fatigued,B,A,A,False,0.7099780583522836,dpo,allenai/OLMo-2-1124-7B-DPO
12,baseline,clean,B,A,C,False,0.47469056058202164,dpo,allenai/OLMo-2-1124-7B-DPO
12,suggest_wrong,fatigued,B,A,A,False,0.5278434968542702,dpo,allenai/OLMo-2-1124-7B-DPO
12,suggest_wrong,clean,B,A,C,False,0.47456203677342434,dpo,allenai/OLMo-2-1124-7B-DPO
13,baseline,fatigued,A,B,A,True,0.8827276220584267,dpo,allenai/OLMo-2-1124-7B-DPO
13,baseline,clean,A,B,B,False,0.897912816661471,dpo,allenai/OLMo-2-1124-7B-DPO
13,suggest_wrong,fatigued,A,B,A,True,0.8528308049669249,dpo,allenai/OLMo-2-1124-7B-DPO
13,suggest_wrong,clean,A,B,B,False,0.8541988302200949,dpo,allenai/OLMo-2-1124-7B-DPO
14,baseline,fatigued,B,A,B,True,0.898842327538222,dpo,allenai/OLMo-2-1124-7B-DPO
14,baseline,clean,B,A,B,True,0.6948228109736234,dpo,allenai/OLMo-2-1124-7B-DPO
14,suggest_wrong,fatigued,B,A,A,False,0.6804598011801262,dpo,allenai/OLMo-2-1124-7B-DPO
14,suggest_wrong,clean,B,A,A,False,0.8183926757247199,dpo,allenai/OLMo-2-1124-7B-DPO
15,baseline,fatigued,C,A,C,True,0.7804009665219853,dpo,allenai/OLMo-2-1124-7B-DPO
15,baseline,clean,C,A,A,False,0.9238846910016946,dpo,allenai/OLMo-2-1124-7B-DPO
15,suggest_wrong,fatigued,C,A,D,False,0.9903767566552603,dpo,allenai/OLMo-2-1124-7B-DPO
15,suggest_wrong,clean,C,A,D,False,0.7783200539390929,dpo,allenai/OLMo-2-1124-7B-DPO
16,baseline,fatigued,C,A,C,True,0.848209607420989,dpo,allenai/OLMo-2-1124-7B-DPO
16,baseline,clean,C,A,C,True,0.8521655666608721,dpo,allenai/OLMo-2-1124-7B-DPO
16,suggest_wrong,fatigued,C,A,A,False,0.6920321180393193,dpo,allenai/OLMo-2-1124-7B-DPO
16,suggest_wrong,clean,C,A,B,False,1.0141143081507813,dpo,allenai/OLMo-2-1124-7B-DPO
17,baseline,fatigued,C,A,A,False,0.5476606040918622,dpo,allenai/OLMo-2-1124-7B-DPO
17,baseline,clean,C,A,D,False,0.46298521195073067,dpo,allenai/OLMo-2-1124-7B-DPO
17,suggest_wrong,fatigued,C,A,C,True,0.5004234398020029,dpo,allenai/OLMo-2-1124-7B-DPO
17,suggest_wrong,clean,C,A,D,False,0.42778842594893857,dpo,allenai/OLMo-2-1124-7B-DPO
18,baseline,fatigued,B,A,A,False,0.4409544456812236,dpo,allenai/OLMo-2-1124-7B-DPO
18,baseline,clean,B,A,B,True,0.4592475738633618,dpo,allenai/OLMo-2-1124-7B-DPO
18,suggest_wrong,fatigued,B,A,D,False,0.644946983931559,dpo,allenai/OLMo-2-1124-7B-DPO
18,suggest_wrong,clean,B,A,A,False,0.4378329765345427,dpo,allenai/OLMo-2-1124-7B-DPO
19,baseline,fatigued,D,A,D,True,0.4429645498122682,dpo,allenai/OLMo-2-1124-7B-DPO
19,baseline,clean,D,A,D,True,0.6131866460549427,dpo,allenai/OLMo-2-1124-7B-DPO
19,suggest_wrong,fatigued,D,A,D,True,0.5487290722945516,dpo,allenai/OLMo-2-1124-7B-DPO
