dataset,probe_variant,condition,layer,strength,signed_strength,prompt_idx,question,immediate,long_term,prompt,continuation,parsed_letter,parsed_semantic,parse_method,fallback_used,score_a,score_b,raw_vector_norm,steering_vector_norm
explicit_test,baseline,baseline,-1,0.0,0.0,2,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability,"If forced to choose, pick:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Faster results with less durability
 (B) Slower results with more durability

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
explicit_test,baseline,baseline,-1,0.0,0.0,3,The perspective to adopt:, (B) This moment matters most, (A) History will be the judge,"The perspective to adopt:

Which of the following is more important, A or B? Answer in one letter only.

 (B) This moment matters most
 (A) History will be the judge

Answer:"," B

Explanation:
The choice",B,choose_immediate,generation_parse,False,,,,
explicit_test,baseline,baseline,-1,0.0,0.0,4,You should spend money on:, (B) Quick fixes that work now, (A) Infrastructure that lasts generations,"You should spend money on:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Quick fixes that work now
 (A) Infrastructure that lasts generations

Answer:"," A

This answer suggests priorit",A,choose_long_term,generation_parse,False,,,,
explicit_test,baseline,baseline,-1,0.0,0.0,5,Your time horizon:, (A) Today, (B) Forever,"Your time horizon:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Today
 (B) Forever

Answer:"," B

This problem involves evaluating",B,choose_long_term,generation_parse,False,,,,
explicit_test,baseline,baseline,-1,0.0,0.0,6,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades,"The relevant timeframe is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Days to weeks
 (B) Years to decades

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
explicit_test,baseline,baseline,-1,0.0,0.0,7,"When analyzing this situation, consider:", (B) What's happening right now, (A) What trends will emerge over time,"When analyzing this situation, consider:

Which of the following is more important, A or B? Answer in one letter only.

 (B) What's happening right now
 (A) What trends will emerge over time

Answer:"," B

Explanation: While understanding",B,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,0,"When addressing this challenge, we should prioritize", (A) Tactical responses that handle the situation at hand, (B) Strategic frameworks that create institutional capacity,"When addressing this challenge, we should prioritize

Which of the following is more important, A or B? Answer in one letter only.

 (A) Tactical responses that handle the situation at hand
 (B) Strategic frameworks that create institutional capacity

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,1,The most important consideration here is, (B) Operational efficiency and rapid execution, (A) Foundational principles and systemic resilience,"The most important consideration here is

Which of the following is more important, A or B? Answer in one letter only.

 (B) Operational efficiency and rapid execution
 (A) Foundational principles and systemic resilience

Answer:"," A

The choice between operational",A,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,2,Our focus should be on, (A) Reactive measures to address presenting symptoms, (B) Proactive interventions that prevent root causes,"Our focus should be on

Which of the following is more important, A or B? Answer in one letter only.

 (A) Reactive measures to address presenting symptoms
 (B) Proactive interventions that prevent root causes

Answer:"," B

The answer is B",B,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,3,Success means, (B) Meeting deadlines and showing tangible progress, (A) Building values and creating transformational change,"Success means

Which of the following is more important, A or B? Answer in one letter only.

 (B) Meeting deadlines and showing tangible progress
 (A) Building values and creating transformational change

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,4,The right approach involves, (A) Triage and damage control, (B) Comprehensive planning and preventive measures,"The right approach involves

Which of the following is more important, A or B? Answer in one letter only.

 (A) Triage and damage control
 (B) Comprehensive planning and preventive measures

Answer:"," A

To determine which option",A,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,5,We should optimize for," (B) Speed, agility, and wins"," (A) Sustainability, durability, and compound growth","We should optimize for

Which of the following is more important, A or B? Answer in one letter only.

 (B) Speed, agility, and wins
 (A) Sustainability, durability, and compound growth

Answer:"," A

The choice between speed",A,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,6,The key metric is, (A) Direct throughput and output volume, (B) Cumulative impact and sustained performance,"The key metric is

Which of the following is more important, A or B? Answer in one letter only.

 (A) Direct throughput and output volume
 (B) Cumulative impact and sustained performance

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,7,Resource allocation should emphasize, (B) Firefighting and crisis response capacity, (A) Infrastructure development and capability building,"Resource allocation should emphasize

Which of the following is more important, A or B? Answer in one letter only.

 (B) Firefighting and crisis response capacity
 (A) Infrastructure development and capability building

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,8,Decision-making should be guided by, (A) Responsiveness and decisiveness, (B) Reflection and thorough analysis,"Decision-making should be guided by

Which of the following is more important, A or B? Answer in one letter only.

 (A) Responsiveness and decisiveness
 (B) Reflection and thorough analysis

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,9,The right mindset is, (B) Action-oriented and results-driven, (A) Vision-oriented and principle-driven,"The right mindset is

Which of the following is more important, A or B? Answer in one letter only.

 (B) Action-oriented and results-driven
 (A) Vision-oriented and principle-driven

Answer:"," B

Explanation: While both",B,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,10,We need to think about, (A) Solving existing bottlenecks and blockers, (B) Designing systems and structures,"We need to think about

Which of the following is more important, A or B? Answer in one letter only.

 (A) Solving existing bottlenecks and blockers
 (B) Designing systems and structures

Answer:"," A

To determine which option",A,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,11,The priority is, (B) Patching vulnerabilities and fixing bugs, (A) Architecting robust solutions and building foundations,"The priority is

Which of the following is more important, A or B? Answer in one letter only.

 (B) Patching vulnerabilities and fixing bugs
 (A) Architecting robust solutions and building foundations

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,12,What matters most is, (A) Pace and momentum, (B) Course and destination,"What matters most is

Which of the following is more important, A or B? Answer in one letter only.

 (A) Pace and momentum
 (B) Course and destination

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,13,Our goal should be, (B) Minimizing pain points, (A) Maximizing potential,"Our goal should be

Which of the following is more important, A or B? Answer in one letter only.

 (B) Minimizing pain points
 (A) Maximizing potential

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,14,The best strategy involves, (A) Exploiting existing assets, (B) Exploring new possibilities,"The best strategy involves

Which of the following is more important, A or B? Answer in one letter only.

 (A) Exploiting existing assets
 (B) Exploring new possibilities

Answer:"," A

To determine which option",A,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,15,We should care about, (B) Small fixes, (A) Foundational shifts,"We should care about

Which of the following is more important, A or B? Answer in one letter only.

 (B) Small fixes
 (A) Foundational shifts

Answer:"," A

To determine which is",A,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,16,Investment should target, (A) Readily monetizable opportunities, (B) Compounding returns and network effects,"Investment should target

Which of the following is more important, A or B? Answer in one letter only.

 (A) Readily monetizable opportunities
 (B) Compounding returns and network effects

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,17,The appropriate level of analysis is, (B) Specific blockers and bottlenecks, (A) Systemic patterns and structures,"The appropriate level of analysis is

Which of the following is more important, A or B? Answer in one letter only.

 (B) Specific blockers and bottlenecks
 (A) Systemic patterns and structures

Answer:"," A

To determine which option",A,choose_long_term,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,18,Effort should be directed toward, (A) Low-hanging fruit, (B) Deep roots,"Effort should be directed toward

Which of the following is more important, A or B? Answer in one letter only.

 (A) Low-hanging fruit
 (B) Deep roots

Answer:"," A

To determine which option",A,choose_immediate,generation_parse,False,,,,
implicit_full,baseline,baseline,-1,0.0,0.0,19,The right orientation is, (B) Proximate and direct, (A) Distant and expansive,"The right orientation is

Which of the following is more important, A or B? Answer in one letter only.

 (B) Proximate and direct
 (A) Distant and expansive

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,,
explicit_train,mm,steer_long_term,0,0.0,0.0,0,The priority should be:, (A) Treating the symptoms now, (B) Curing the underlying disease,"The priority should be:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Treating the symptoms now
 (B) Curing the underlying disease

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,0.0,0.0,1,The key factor to consider here is:, (A) What delivers immediate impact, (B) What compounds over time,"The key factor to consider here is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) What delivers immediate impact
 (B) What compounds over time

Answer:"," B

To determine which factor",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,0.0,0.0,2,Success looks like:, (B) Instant results, (A) Compounding progress,"Success looks like:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Instant results
 (A) Compounding progress

Answer:"," A

The answer is A",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,0.0,0.0,3,The right choice is the one that:, (A) Provides instant gratification, (B) Yields delayed but greater rewards,"The right choice is the one that:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Provides instant gratification
 (B) Yields delayed but greater rewards

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,0.0,0.0,4,"In making this decision, what matters most is:", (B) Solving the current crisis, (A) Preventing future problems,"In making this decision, what matters most is:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Solving the current crisis
 (A) Preventing future problems

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,0.0,0.0,5,The most important outcome is:, (A) Getting quick wins now, (B) Building sustainable advantage,"The most important outcome is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Getting quick wins now
 (B) Building sustainable advantage

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,0.0,0.0,6,How to proceed:, (B) Move fast and fix issues later, (A) Build it right from the start,"How to proceed:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Move fast and fix issues later
 (A) Build it right from the start

Answer:"," A

To determine which option",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,0.0,0.0,7,Looking at this through the lens of:, (A) Present concerns, (B) Future generations,"Looking at this through the lens of:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Present concerns
 (B) Future generations

Answer:"," B

This answer suggests that",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,0.0,-0.0,0,The priority should be:, (A) Treating the symptoms now, (B) Curing the underlying disease,"The priority should be:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Treating the symptoms now
 (B) Curing the underlying disease

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,0.0,-0.0,1,The key factor to consider here is:, (A) What delivers immediate impact, (B) What compounds over time,"The key factor to consider here is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) What delivers immediate impact
 (B) What compounds over time

Answer:"," B

To determine which factor",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,0.0,-0.0,2,Success looks like:, (B) Instant results, (A) Compounding progress,"Success looks like:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Instant results
 (A) Compounding progress

Answer:"," A

The answer is A",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,0.0,-0.0,3,The right choice is the one that:, (A) Provides instant gratification, (B) Yields delayed but greater rewards,"The right choice is the one that:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Provides instant gratification
 (B) Yields delayed but greater rewards

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,0.0,-0.0,4,"In making this decision, what matters most is:", (B) Solving the current crisis, (A) Preventing future problems,"In making this decision, what matters most is:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Solving the current crisis
 (A) Preventing future problems

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,0.0,-0.0,5,The most important outcome is:, (A) Getting quick wins now, (B) Building sustainable advantage,"The most important outcome is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Getting quick wins now
 (B) Building sustainable advantage

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,0.0,-0.0,6,How to proceed:, (B) Move fast and fix issues later, (A) Build it right from the start,"How to proceed:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Move fast and fix issues later
 (A) Build it right from the start

Answer:"," A

To determine which option",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,0.0,-0.0,7,Looking at this through the lens of:, (A) Present concerns, (B) Future generations,"Looking at this through the lens of:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Present concerns
 (B) Future generations

Answer:"," B

This answer suggests that",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,1.0,1.0,0,The priority should be:, (A) Treating the symptoms now, (B) Curing the underlying disease,"The priority should be:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Treating the symptoms now
 (B) Curing the underlying disease

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,1.0,1.0,1,The key factor to consider here is:, (A) What delivers immediate impact, (B) What compounds over time,"The key factor to consider here is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) What delivers immediate impact
 (B) What compounds over time

Answer:"," B

To determine which factor",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,1.0,1.0,2,Success looks like:, (B) Instant results, (A) Compounding progress,"Success looks like:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Instant results
 (A) Compounding progress

Answer:"," A

The answer is A",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,1.0,1.0,3,The right choice is the one that:, (A) Provides instant gratification, (B) Yields delayed but greater rewards,"The right choice is the one that:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Provides instant gratification
 (B) Yields delayed but greater rewards

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,1.0,1.0,4,"In making this decision, what matters most is:", (B) Solving the current crisis, (A) Preventing future problems,"In making this decision, what matters most is:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Solving the current crisis
 (A) Preventing future problems

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,1.0,1.0,5,The most important outcome is:, (A) Getting quick wins now, (B) Building sustainable advantage,"The most important outcome is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Getting quick wins now
 (B) Building sustainable advantage

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,1.0,1.0,6,How to proceed:, (B) Move fast and fix issues later, (A) Build it right from the start,"How to proceed:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Move fast and fix issues later
 (A) Build it right from the start

Answer:"," A

To determine which option",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,1.0,1.0,7,Looking at this through the lens of:, (A) Present concerns, (B) Future generations,"Looking at this through the lens of:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Present concerns
 (B) Future generations

Answer:"," B

This answer suggests that",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,1.0,-1.0,0,The priority should be:, (A) Treating the symptoms now, (B) Curing the underlying disease,"The priority should be:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Treating the symptoms now
 (B) Curing the underlying disease

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,1.0,-1.0,1,The key factor to consider here is:, (A) What delivers immediate impact, (B) What compounds over time,"The key factor to consider here is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) What delivers immediate impact
 (B) What compounds over time

Answer:"," B

To determine which factor",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,1.0,-1.0,2,Success looks like:, (B) Instant results, (A) Compounding progress,"Success looks like:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Instant results
 (A) Compounding progress

Answer:"," A

The answer is A",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,1.0,-1.0,3,The right choice is the one that:, (A) Provides instant gratification, (B) Yields delayed but greater rewards,"The right choice is the one that:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Provides instant gratification
 (B) Yields delayed but greater rewards

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,1.0,-1.0,4,"In making this decision, what matters most is:", (B) Solving the current crisis, (A) Preventing future problems,"In making this decision, what matters most is:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Solving the current crisis
 (A) Preventing future problems

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,1.0,-1.0,5,The most important outcome is:, (A) Getting quick wins now, (B) Building sustainable advantage,"The most important outcome is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Getting quick wins now
 (B) Building sustainable advantage

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,1.0,-1.0,6,How to proceed:, (B) Move fast and fix issues later, (A) Build it right from the start,"How to proceed:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Move fast and fix issues later
 (A) Build it right from the start

Answer:"," A

To determine which option",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,1.0,-1.0,7,Looking at this through the lens of:, (A) Present concerns, (B) Future generations,"Looking at this through the lens of:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Present concerns
 (B) Future generations

Answer:"," B

This answer suggests that",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,2.0,2.0,0,The priority should be:, (A) Treating the symptoms now, (B) Curing the underlying disease,"The priority should be:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Treating the symptoms now
 (B) Curing the underlying disease

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,2.0,2.0,1,The key factor to consider here is:, (A) What delivers immediate impact, (B) What compounds over time,"The key factor to consider here is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) What delivers immediate impact
 (B) What compounds over time

Answer:"," B

To determine which factor",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,2.0,2.0,2,Success looks like:, (B) Instant results, (A) Compounding progress,"Success looks like:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Instant results
 (A) Compounding progress

Answer:"," A

The answer is A",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,2.0,2.0,3,The right choice is the one that:, (A) Provides instant gratification, (B) Yields delayed but greater rewards,"The right choice is the one that:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Provides instant gratification
 (B) Yields delayed but greater rewards

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,2.0,2.0,4,"In making this decision, what matters most is:", (B) Solving the current crisis, (A) Preventing future problems,"In making this decision, what matters most is:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Solving the current crisis
 (A) Preventing future problems

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,2.0,2.0,5,The most important outcome is:, (A) Getting quick wins now, (B) Building sustainable advantage,"The most important outcome is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Getting quick wins now
 (B) Building sustainable advantage

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,2.0,2.0,6,How to proceed:, (B) Move fast and fix issues later, (A) Build it right from the start,"How to proceed:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Move fast and fix issues later
 (A) Build it right from the start

Answer:"," A

To determine which option",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_long_term,0,2.0,2.0,7,Looking at this through the lens of:, (A) Present concerns, (B) Future generations,"Looking at this through the lens of:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Present concerns
 (B) Future generations

Answer:"," B

This answer suggests that",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,2.0,-2.0,0,The priority should be:, (A) Treating the symptoms now, (B) Curing the underlying disease,"The priority should be:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Treating the symptoms now
 (B) Curing the underlying disease

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,2.0,-2.0,1,The key factor to consider here is:, (A) What delivers immediate impact, (B) What compounds over time,"The key factor to consider here is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) What delivers immediate impact
 (B) What compounds over time

Answer:"," B

To determine which factor",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,2.0,-2.0,2,Success looks like:, (B) Instant results, (A) Compounding progress,"Success looks like:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Instant results
 (A) Compounding progress

Answer:"," A

The answer is A",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,2.0,-2.0,3,The right choice is the one that:, (A) Provides instant gratification, (B) Yields delayed but greater rewards,"The right choice is the one that:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Provides instant gratification
 (B) Yields delayed but greater rewards

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,2.0,-2.0,4,"In making this decision, what matters most is:", (B) Solving the current crisis, (A) Preventing future problems,"In making this decision, what matters most is:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Solving the current crisis
 (A) Preventing future problems

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,2.0,-2.0,5,The most important outcome is:, (A) Getting quick wins now, (B) Building sustainable advantage,"The most important outcome is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Getting quick wins now
 (B) Building sustainable advantage

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,2.0,-2.0,6,How to proceed:, (B) Move fast and fix issues later, (A) Build it right from the start,"How to proceed:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Move fast and fix issues later
 (A) Build it right from the start

Answer:"," A

To determine which option",A,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
explicit_train,mm,steer_immediate,0,2.0,-2.0,7,Looking at this through the lens of:, (A) Present concerns, (B) Future generations,"Looking at this through the lens of:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Present concerns
 (B) Future generations

Answer:"," B

This answer suggests that",B,choose_long_term,generation_parse,False,,,5.891683578491211,1.0
