condition,level,days,n_queries,Delivery Rate,Commonsense Constraint Micro Pass Rate,Commonsense Constraint Macro Pass Rate,Hard Constraint Micro Pass Rate,Hard Constraint Macro Pass Rate,Final Pass Rate
steer_immediate_minus8,medium,5,20,1.0,0.58125,0.0,0.0,0.0,0.0
steer_immediate_minus8,medium,7,20,1.0,0.53125,0.0,0.0,0.0,0.0
steer_long_term_plus8,easy,3,20,0.8,0.55,0.0,0.0,0.0,0.0
steer_long_term_plus8,easy,5,20,1.0,0.5875,0.0,0.0,0.0,0.0
steer_long_term_plus8,easy,7,20,1.0,0.575,0.0,0.1,0.1,0.0
steer_long_term_plus8,hard,3,20,0.95,0.625,0.0,0.0,0.0,0.0
steer_long_term_plus8,hard,5,20,0.95,0.58125,0.0,0.0,0.0,0.0
steer_long_term_plus8,hard,7,20,1.0,0.58125,0.0,0.0,0.0,0.0
steer_long_term_plus8,medium,3,20,0.95,0.6625,0.0,0.0,0.0,0.0
steer_long_term_plus8,medium,5,20,1.0,0.59375,0.0,0.0,0.0,0.0
steer_long_term_plus8,medium,7,20,1.0,0.54375,0.0,0.0,0.0,0.0
